Bin Id	Bin size (Mbp)	Re1A_S1_R1_paired.sorted: mapped reads	Re1A_S1_R1_paired.sorted: % mapped reads	Re1A_S1_R1_paired.sorted: % binned populations	Re1A_S1_R1_paired.sorted: % community	Re1B_S1_R1_paired.sorted: mapped reads	Re1B_S1_R1_paired.sorted: % mapped reads	Re1B_S1_R1_paired.sorted: % binned populations	Re1B_S1_R1_paired.sorted: % community	Re2A_S12_R1_paired.sorted: mapped reads	Re2A_S12_R1_paired.sorted: % mapped reads	Re2A_S12_R1_paired.sorted: % binned populations	Re2A_S12_R1_paired.sorted: % community	Re2B_S2_R1_paired.sorted: mapped reads	Re2B_S2_R1_paired.sorted: % mapped reads	Re2B_S2_R1_paired.sorted: % binned populations	Re2B_S2_R1_paired.sorted: % community	Re3A_S23_R1_paired.sorted: mapped reads	Re3A_S23_R1_paired.sorted: % mapped reads	Re3A_S23_R1_paired.sorted: % binned populations	Re3A_S23_R1_paired.sorted: % community	Re3B_S3_R1_paired.sorted: mapped reads	Re3B_S3_R1_paired.sorted: % mapped reads	Re3B_S3_R1_paired.sorted: % binned populations	Re3B_S3_R1_paired.sorted: % community	Re4A_S34_R1_paired.sorted: mapped reads	Re4A_S34_R1_paired.sorted: % mapped reads	Re4A_S34_R1_paired.sorted: % binned populations	Re4A_S34_R1_paired.sorted: % community	Re4B_S4_R1_paired.sorted: mapped reads	Re4B_S4_R1_paired.sorted: % mapped reads	Re4B_S4_R1_paired.sorted: % binned populations	Re4B_S4_R1_paired.sorted: % community
Ilumatobacter_sp_DTU-UNIPD920	1.955964	3947	0.0765846245549	0.069554113473	0.069554113473	2745	0.0751930777444	0.0687172337389	0.0687172337389	33092	0.577650047271	0.546412171388	0.546412171388	21284	0.486735296862	0.462891957828	0.462891957828	6531	0.121261115602	0.117038095547	0.117038095547	1804	0.0652772219404	0.0629864410774	0.0629864410774	1288	0.0250861655251	0.0227836958563	0.0227836958563	297	0.0144441974935	0.0130013355956	0.0130013355956
Firmicutes_sp_DTU-UNIPD921	1.172494	65040	1.26198732735	1.91199368689	1.91199368689	46082	1.26231235287	1.92444218079	1.92444218079	96744	1.68875184858	2.66484293658	2.66484293658	77809	1.77938295027	2.82297119892	2.82297119892	46463	0.862678795625	1.389008932	1.389008932	20110	0.727674574956	1.17131265571	1.17131265571	56862	1.10749188205	1.67795639542	1.67795639542	17624	0.857119651939	1.2870227735	1.2870227735
Bacteroidales_sp_DTU-UNIPD922	1.414784	90876	1.76328967344	2.21398978899	2.21398978899	94474	2.58790194056	3.26968820585	3.26968820585	60048	1.04819080257	1.37077638398	1.37077638398	66857	1.52892603563	2.01022184392	2.01022184392	17097	0.317440100054	0.423582678042	0.423582678042	7734	0.279852569006	0.373323580287	0.373323580287	23225	0.452349529751	0.567982234204	0.567982234204	14013	0.681503499921	0.848073238266	0.848073238266
Firmicutes_sp_DTU-UNIPD923	1.345088	38035	0.738002582961	0.974651314239	0.974651314239	29653	0.812276988836	1.07944896972	1.07944896972	114614	2.00068845999	2.75197939367	2.75197939367	90503	2.06967696729	2.86219698399	2.86219698399	36525	0.678159890885	0.951804921685	0.951804921685	16629	0.601715589605	0.844280637161	0.844280637161	82801	1.61270154631	2.12987468828	2.12987468828	27410	1.3330486643	1.74482033406	1.74482033406
Clostridia_sp_DTU-UNIPD924	2.519733	3627	0.0703755848139	0.0496146100272	0.0496146100272	2849	0.0780419229486	0.0553633169952	0.0553633169952	12063	0.210570304612	0.154617629381	0.154617629381	8982	0.205405771303	0.1516372045	0.1516372045	37246	0.691546702147	0.518123791461	0.518123791461	19874	0.719134982729	0.53864440834	0.53864440834	25862	0.503709947833	0.355121324887	0.355121324887	9367	0.455551508154	0.318301271112	0.318301271112
Petrimonas_sp_DTU-UNIPD925	2.223799	43238	0.838957688499	0.670172521633	0.670172521633	36699	1.00528625142	0.808058637035	0.808058637035	5041	0.0879951011813	0.0732115114838	0.0732115114838	4627	0.105813015344	0.0885097698363	0.0885097698363	4628	0.0859281033544	0.0729467990344	0.0729467990344	2380	0.0861196165289	0.0730891347448	0.0730891347448	13112	0.255380281339	0.204005829991	0.204005829991	4821	0.234462882546	0.185623936053	0.185623936053
Clostridiales_sp_DTU-UNIPD926	0.620577	14819	0.287536749754	0.823075686298	0.823075686298	10439	0.285952837368	0.82365890613	0.82365890613	2193	0.0382807492344	0.11413035349	0.11413035349	1649	0.0377103225204	0.113034813617	0.113034813617	4241	0.0787426720669	0.239541638919	0.239541638919	2041	0.0738529988804	0.224604639658	0.224604639658	4558	0.0887754211671	0.254125247118	0.254125247118	1579	0.0767925516575	0.217860668004	0.217860668004
Methanoculleus_thermophilus_DTU-UNIPD927	1.434897	67867	1.31684031281	1.63025099815	1.63025099815	50391	1.38034767964	1.71955640491	1.71955640491	2146	0.0374603227802	0.0483022316436	0.0483022316436	1630	0.0372758191075	0.0483230256898	0.0483230256898	3366	0.0624965418951	0.0822246065087	0.0822246065087	1523	0.0551093176359	0.0724854050116	0.0724854050116	2948	0.0574177142608	0.0710846648773	0.0710846648773	1035	0.0503358397501	0.0617606700002	0.0617606700002
Tepidanaerobacter_sp_DTU-UNIPD928	1.649353	48367	0.938476953597	1.0107694018	1.0107694018	32383	0.887059175446	0.961363527896	0.961363527896	14700	0.256601465456	0.287847145025	0.287847145025	10569	0.241698240581	0.272588497394	0.272588497394	13203	0.245140179038	0.280586924179	0.280586924179	6539	0.236611837177	0.270750406132	0.270750406132	21272	0.414311267895	0.446235254374	0.446235254374	8904	0.433034122836	0.462236156248	0.462236156248
Rikenellaceae_sp_DTU-UNIPD929	1.573214	27839	0.540167054214	0.609933347786	0.609933347786	28059	0.768612957534	0.873310261732	0.873310261732	15354	0.268017612287	0.315204159609	0.315204159609	16063	0.367338332714	0.434336271937	0.434336271937	6149	0.114168519344	0.137001433155	0.137001433155	2942	0.106455425138	0.127710398482	0.127710398482	29071	0.566211116443	0.639353927436	0.639353927436	18431	0.896367016845	1.00312134831	1.00312134831
