community	medium	receiver	donor	compound	scs	mus	mps	smetana
community0	minimal	Rikenellaceae_sp_DTU-UNIPD929	Petrimonas_sp_DTU-UNIPD925	M_pi_e	1.0	1.0	1	1.0
community0	minimal	Rikenellaceae_sp_DTU-UNIPD929	Petrimonas_sp_DTU-UNIPD925	M_rib__D_e	1.0	1.0	1	1.0
community1	minimal	Petrimonas_sp_DTU-UNIPD925	Aminobacterium_colombiense_DTU-UNIPD933	M_acald_e	1.0	0.07	1	0.07
community1	minimal	Petrimonas_sp_DTU-UNIPD925	Aminobacterium_colombiense_DTU-UNIPD933	M_fe2_e	1.0	0.08	1	0.08
community1	minimal	Petrimonas_sp_DTU-UNIPD925	Aminobacterium_colombiense_DTU-UNIPD933	M_h_e	1.0	0.04	1	0.04
community1	minimal	Petrimonas_sp_DTU-UNIPD925	Aminobacterium_colombiense_DTU-UNIPD933	M_leu__L_e	1.0	1.0	1	1.0
community1	minimal	Petrimonas_sp_DTU-UNIPD925	Aminobacterium_colombiense_DTU-UNIPD933	M_nh4_e	1.0	0.16	1	0.16
community1	minimal	Aminobacterium_colombiense_DTU-UNIPD933	Petrimonas_sp_DTU-UNIPD925	M_malttr_e	1.0	1.0	1	1.0
community1	minimal	Aminobacterium_colombiense_DTU-UNIPD933	Petrimonas_sp_DTU-UNIPD925	M_pi_e	1.0	1.0	1	1.0
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_abt__L_e	1.0	0.01	1	0.01
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_ala__L_e	1.0	0.21	1	0.21
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_alaala_e	1.0	0.03	1	0.03
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_arab__L_e	1.0	0.28	1	0.28
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_asp__L_e	1.0	0.05	1	0.05
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_cu2_e	1.0	1.0	1	1.0
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_fe3_e	1.0	0.64	1	0.64
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_glu__L_e	1.0	0.03	1	0.03
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_h2o_e	1.0	0.11	1	0.11
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_h_e	1.0	0.01	1	0.01
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_his__L_e	1.0	0.01	1	0.01
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_ile__L_e	1.0	1.0	1	1.0
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_leu__L_e	1.0	1.0	1	1.0
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_nh4_e	1.0	0.03	1	0.03
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_pi_e	1.0	1.0	1	1.0
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_pro__L_e	1.0	1.0	1	1.0
community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_rib__D_e	1.0	1.0	1	1.0
