extended name	biggID	model_bigg_id
10-Formyltetrahydrofolate	10fthf	Universal
10-formyltetrahydrofolate-[Glu](5)	10fthf5glu	Universal
10-formyltetrahydrofolate-[Glu](6)	10fthf6glu	Universal
10-formyltetrahydrofolate-[Glu](7)	10fthf7glu	Universal
10-Formyltetrahydrofolyl L-glutamate	10fthfglu__L	Universal
10-methyl-3-oxo-undecanoyl-ACP	10m3ouACP	Universal
10-methyl-3-hydroxy-undecanoyl-ACP	10m3uACP	Universal
10-methyl-dodecanoyl-ACP	10mdACP	Universal
10-methyl-trans-dodec-2-enoyl-ACP	10mtd2eACP	Universal
10-methyl-trans-undec-2-enoyl-ACP	10mtu2eACP	Universal
10-methyl-undecanoyl-ACP	10muACP	Universal
Fatty acid 11-cis-retinol	11_cis_retfa	Universal
11docrtsl c	11docrtsl	Universal
11-Deoxycorticosterone	11docrtstrn	Universal
11-methyl-3-hydroxy-dodecanoyl-ACP	11m3hdACP	Universal
11-methyl-3-oxo-dodecanoyl-ACP	11m3odACP	Universal
11-methyl-dodecanoyl-ACP	11mdACP	Universal
11-methyl-trans-dodec-2-enoyl-ACP	11mtdeACP	Universal
12-methyl-3-oxo-tetra-decanoyl-ACP	123oxtACP	Universal
1 2 dihydroxy 3 keto 5 methylthiopentene C6H8O3S	12d3k5m	Universal
1 2 diacyl sn glycerol 3 phosphate C3436H6572O800P100	12dag3p_BS	Universal
1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	12dgr120	Universal
1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	12dgr140	Universal
1,2-Diacyl-sn-glycerol(14:0/16:0)	12dgr140160	Universal
1,2-Diacyl-sn-glycerol(14:0/16:1(9Z))	12dgr1401619Z	Universal
1,2-Diacyl-sn-glycerol(14:0/16:2(9Z,12Z))	12dgr140162n4	Universal
1,2-Diacyl-sn-glycerol(14:0/16:3(6Z,9Z,12Z))	12dgr140163n4	Universal
1,2-Diacyl-sn-glycerol(14:0/18:0)	12dgr140180	Universal
1,2-Diacyl-sn-glycerol(14:0/18:1(9Z))	12dgr1401819Z	Universal
1,2-Diacyl-sn-glycerol(14:0/18:2(9Z,12Z))	12dgr140182n6	Universal
1,2-Diacyl-sn-glycerol(14:0/18:3(9Z,12Z,15Z))	12dgr140183n3	Universal
1,2-Diacyl-sn-glycerol(14:0/18:3(6Z,9Z,12Z))	12dgr140183n6	Universal
1,2-Diacyl-sn-glycerol(14:0/20:4(5Z,8Z,11Z,14Z))	12dgr140204n6	Universal
1,2-Diacyl-sn-glycerol(14:0/20:5(5Z,8Z,11Z,14Z,17Z))	12dgr140205n3	Universal
1,2-Diacyl-sn-glycerol(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	12dgr140226n3	Universal
1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)	12dgr141	Universal
1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	12dgr160	Universal
1,2-Diacyl-sn-glycerol(16:0/14:0)	12dgr160140	Universal
1,2-Diacyl-sn-glycerol(16:0/16:1(9Z))	12dgr1601619Z	Universal
1,2-Diacyl-sn-glycerol(16:0/18:0)	12dgr160180	Universal
1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(11Z)-octadecenoyl, 16:0/18:1(11Z))	12dgr16018111Z	Universal
1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(9Z)-octadecenoyl, 16:0/18:1(9Z))	12dgr1601819Z	Universal
1,2-Diacyl-sn-glycerol(16:0/18:2(9Z,12Z))	12dgr160182n6	Universal
1,2-Diacyl-sn-glycerol(16:0/18:3(9Z,12Z,15Z))	12dgr160183n3	Universal
1,2-Diacyl-sn-glycerol(16:0/18:3(6Z,9Z,12Z))	12dgr160183n6	Universal
1,2-Diacyl-sn-glycerol(16:0/20:4(5Z,8Z,11Z,14Z))	12dgr160204n6	Universal
1,2-Diacyl-sn-glycerol(16:0/20:5(5Z,8Z,11Z,14Z,17Z))	12dgr160205n3	Universal
1,2-Diacyl-sn-glycerol(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	12dgr160226n3	Universal
1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	12dgr161	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/14:0)	12dgr1619Z140	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/16:0)	12dgr1619Z160	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/16:2(9Z,12Z))	12dgr1619Z162n4	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/16:3(6Z,9Z,12Z))	12dgr1619Z163n4	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/18:0)	12dgr1619Z180	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/18:1(9Z))	12dgr1619Z1819Z	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/18:2(9Z,12Z))	12dgr1619Z182n6	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(9Z,12Z,15Z))	12dgr1619Z183n3	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(6Z,9Z,12Z))	12dgr1619Z183n6	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))	12dgr1619Z204n6	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))	12dgr1619Z205n3	Universal
1,2-Diacyl-sn-glycerol(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	12dgr1619Z226n3	Universal
1,2-Diacyl-sn-glycerol (16:1(9Z)/24:0)	12dgr1619Z240	Universal
1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	12dgr180	Universal
1,2-Diacyl-sn-glycerol(18:0/14:0)	12dgr180140	Universal
1,2-Diacyl-sn-glycerol(18:0/16:0)	12dgr180160	Universal
1,2-Diacyl-sn-glycerol(18:0/16:1(9Z))	12dgr1801619Z	Universal
1,2-Diacyl-sn-glycerol (1-octadecanoyl,2-(9Z)-octadecenoyl, 18:0/18:1(9Z))	12dgr1801819Z	Universal
1,2-Diacyl-sn-glycerol(18:0/18:2(9Z,12Z))	12dgr180182n6	Universal
1,2-Diacyl-sn-glycerol(18:0/18:3(9Z,12Z,15Z))	12dgr180183n3	Universal
1,2-Diacyl-sn-glycerol(18:0/18:3(6Z,9Z,12Z))	12dgr180183n6	Universal
1,2-Diacyl-sn-glycerol(18:0/20:4(5Z,8Z,11Z,14Z))	12dgr180204n6	Universal
1,2-Diacyl-sn-glycerol(18:0/20:5(5Z,8Z,11Z,14Z,17Z))	12dgr180205n3	Universal
1,2-Diacyl-sn-glycerol(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	12dgr180226n3	Universal
1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)	12dgr181	Universal
1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-hexadecanoyl, 18:1(11Z)/16:0)	12dgr18111Z160	Universal
1,2-Diacyl-sn-glycerol (1,2-di-(11Z)-octadecenoyl, 18:1(11Z)/18:1(11Z))	12dgr18111Z18111Z	Universal
1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl, 18:1(11Z)/18:1(9Z))	12dgr18111Z1819Z	Universal
1,2-Diacyl-sn-glycerol (dioctadec-9-enoyl, n-C18 1)	12dgr181_9	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/14:0)	12dgr1819Z140	Universal
1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-hexadecanoyl, 18:1(9Z)/16:0)	12dgr1819Z160	Universal
1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))	12dgr1819Z1619Z	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/16:2(9Z,12Z))	12dgr1819Z162n4	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/16:3(6Z,9Z,12Z))	12dgr1819Z163n4	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/18:0)	12dgr1819Z180	Universal
1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl, 18:1(9Z)/18:1(11Z))	12dgr1819Z18111Z	Universal
1,2-Diacyl-sn-glycerol (1,2-di-(9Z)-octadecenoyl, 18:1(9Z)/18:1(9Z))	12dgr1819Z1819Z	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/18:2(9Z,12Z))	12dgr1819Z182n6	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/18:3(9Z,12Z,15Z))	12dgr1819Z183n3	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/18:3(6Z,9Z,12Z))	12dgr1819Z183n6	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))	12dgr1819Z204n6	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))	12dgr1819Z205n3	Universal
1,2-Diacyl-sn-glycerol(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	12dgr1819Z226n3	Universal
1,2-Diacyl-sn-glycerol (dioctadec-9-12-dienoyl, n-C18 2)	12dgr182_9_12	Universal
1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/14:0)	12dgr182n6140	Universal
1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/16:0)	12dgr182n6160	Universal
1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/16:1(9Z))	12dgr182n61619Z	Universal
