	community	medium	receiver	donor	compound	scs	mus	mps	smetana
1505	community1153	minimal	Firmicutes_sp_DTU-UNIPD921	Clostridia_sp_DTU-UNIPD951	M_ac_e	1.0	0.16	1	0.16
1543	community1157	minimal	Actinobacteria_sp_DTU-UNIPD965	Firmicutes_sp_DTU-UNIPD921	M_ac_e	1.0	0.01	1	0.01
2066	community1215	minimal	Clostridia_sp_DTU-UNIPD924	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_ac_e	1.0	0.01	1	0.01
3102	community1337	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_ac_e	1.0	0.02	1	0.02
3122	community1339	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_ac_e	1.0	0.01	1	0.01
3791	community1396	minimal	Syntrophomonas_sp_DTU-UNIPD935	Ruminococcaceae_sp_DTU-UNIPD949	M_ac_e	1.0	0.09	1	0.09
4006	community1416	minimal	Syntrophomonas_sp_DTU-UNIPD935	Limnochordia_sp_DTU-UNIPD975	M_ac_e	1.0	0.01	1	0.01
4615	community1472	minimal	Ca_Caldatribacterium_sp_DTU-UNIPD941	Clostridia_sp_DTU-UNIPD951	M_ac_e	1.0	0.04	1	0.04
4655	community1476	minimal	Ca_Caldatribacterium_sp_DTU-UNIPD941	Actinobacteria_sp_DTU-UNIPD965	M_ac_e	1.0	0.1	1	0.1
5115	community1517	minimal	Ruminococcaceae_sp_DTU-UNIPD949	Clostridia_sp_DTU-UNIPD951	M_ac_e	1.0	0.06	1	0.06
5175	community1523	minimal	Ruminococcaceae_sp_DTU-UNIPD949	Clostridiales_sp_DTU-UNIPD971	M_ac_e	1.0	0.01	1	0.01
5270	community1532	minimal	Ruminococcaceae_sp_DTU-UNIPD949	Clostridia_sp_DTU-UNIPD961	M_ac_e	1.0	0.04	1	0.04
5286	community1533	minimal	Ruminococcaceae_sp_DTU-UNIPD949	Clostridia_sp_DTU-UNIPD964	M_ac_e	1.0	0.01	1	0.01
5318	community1535	minimal	Ruminococcaceae_sp_DTU-UNIPD949	Clostridia_sp_DTU-UNIPD970	M_ac_e	1.0	0.01	1	0.01
5328	community1536	minimal	Ruminococcaceae_sp_DTU-UNIPD949	Limnochordia_sp_DTU-UNIPD975	M_ac_e	1.0	0.08	1	0.08
6147	community1628	minimal	Actinobacteria_sp_DTU-UNIPD965	Clostridia_sp_DTU-UNIPD964	M_ac_e	1.0	0.02	1	0.02
6225	community1633	minimal	Actinobacteria_sp_DTU-UNIPD965	Bacteroidales_sp_DTU-UNIPD922	M_ac_e	1.0	0.03	1	0.03
7070	community1714	minimal	Cloacibacillus_sp_DTU-UNIPD942	Bacteroidales_sp_DTU-UNIPD922	M_ac_e	1.0	0.03	1	0.03
7411	community1751	minimal	Clostridia_sp_DTU-UNIPD961	Clostridia_sp_DTU-UNIPD970	M_ac_e	1.0	0.04	1	0.04
8275	community235	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Pseudorhodobacter_sp_DTU-UNIPD967	M_ac_e	1.0	0.01	1	0.01
8288	community236	minimal	Alcaligenaceae_sp_DTU-UNIPD943	Bacillus_sp_DTU-UNIPD918	M_ac_e	1.0	0.01	1	0.01
