	community	medium	receiver	donor	compound	scs	mus	mps	smetana
13	community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_asp__L_e	1.0	0.05	1	0.05
364	community1035	minimal	bin_8_metaspades	Tepidanaerobacter_sp_DTU-UNIPD928	M_asp__L_e	1.0	0.06	1	0.06
546	community1055	minimal	bin_8_metaspades	Cloacibacillus_sp_DTU-UNIPD942	M_asp__L_e	1.0	0.07	1	0.07
575	community1059	minimal	bin_8_metaspades	Bacillus_sp_DTU-UNIPD958	M_asp__L_e	1.0	0.04	1	0.04
672	community107	minimal	Acholeplasmatales_sp_DTU-UNIPD950	Rikenellaceae_sp_DTU-UNIPD929	M_asp__L_e	1.0	1.0	1	1.0
774	community108	minimal	Acidaminococcales_sp_DTU-UNIPD952	Rikenellaceae_sp_DTU-UNIPD929	M_asp__L_e	1.0	0.16	1	0.16
1050	community1108	minimal	Ilumatobacter_sp_DTU-UNIPD920	Tepidanaerobacter_sp_DTU-UNIPD928	M_asp__L_e	1.0	0.05	1	0.05
1165	community1119	minimal	Ilumatobacter_sp_DTU-UNIPD920	Firmicutes_sp_DTU-UNIPD954	M_asp__L_e	1.0	0.04	1	0.04
1288	community113	minimal	Clostridia_sp_DTU-UNIPD970	Rikenellaceae_sp_DTU-UNIPD929	M_asp__L_e	1.0	0.3333333333333333	1	0.3333333333333333
1299	community1131	minimal	Ilumatobacter_sp_DTU-UNIPD920	Acidaminococcales_sp_DTU-UNIPD952	M_asp__L_e	1.0	0.02	1	0.02
1313	community1132	minimal	Ilumatobacter_sp_DTU-UNIPD920	Bacillus_sp_DTU-UNIPD958	M_asp__L_e	1.0	0.16	1	0.16
1339	community1135	minimal	Ilumatobacter_sp_DTU-UNIPD920	Ruminococcaceae_sp_DTU-UNIPD968	M_asp__L_e	1.0	0.01	1	0.01
1605	community1163	minimal	Firmicutes_sp_DTU-UNIPD921	Cloacibacillus_sp_DTU-UNIPD942	M_asp__L_e	1.0	0.01	1	0.01
1816	community1188	minimal	Firmicutes_sp_DTU-UNIPD923	Firmicutes_sp_DTU-UNIPD954	M_asp__L_e	1.0	0.09	1	0.09
1896	community1197	minimal	Firmicutes_sp_DTU-UNIPD923	Cloacibacillus_sp_DTU-UNIPD942	M_asp__L_e	1.0	0.04	1	0.04
1941	community1200	minimal	Firmicutes_sp_DTU-UNIPD923	Acidaminococcales_sp_DTU-UNIPD952	M_asp__L_e	1.0	0.17	1	0.17
1946	community1201	minimal	Firmicutes_sp_DTU-UNIPD923	Bacillus_sp_DTU-UNIPD958	M_asp__L_e	1.0	0.14	1	0.14
1973	community1204	minimal	Firmicutes_sp_DTU-UNIPD923	Ruminococcaceae_sp_DTU-UNIPD968	M_asp__L_e	1.0	0.1	1	0.1
2100	community122	minimal	Aminobacterium_colombiense_DTU-UNIPD933	Fermentimonas_massiliensis_DTU-UNIPD960	M_asp__L_e	1.0	0.01	1	0.01
2340	community125	minimal	Aminobacterium_colombiense_DTU-UNIPD933	Bacillus_sp_DTU-UNIPD918	M_asp__L_e	1.0	0.01	1	0.01
2437	community126	minimal	Aminobacterium_colombiense_DTU-UNIPD933	Synergistetes_sp_DTU-UNIPD919	M_asp__L_e	1.0	0.03	1	0.03
2638	community1281	minimal	Firmicutes_sp_DTU-UNIPD945	Tepidanaerobacter_sp_DTU-UNIPD928	M_asp__L_e	1.0	1.0	1	1.0
2660	community1284	minimal	Tepidanaerobacter_sp_DTU-UNIPD928	Firmicutes_sp_DTU-UNIPD954	M_asp__L_e	1.0	0.05	1	0.05
