	community	medium	receiver	donor	compound	scs	mus	mps	smetana
117	community1007	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD951	M_co2_e	1.0	0.01	1	0.01
489	community105	minimal	Rikenellaceae_sp_DTU-UNIPD929	Cloacibacillus_sp_DTU-UNIPD942	M_co2_e	1.0	0.01	1	0.01
845	community109	minimal	Rikenellaceae_sp_DTU-UNIPD929	Bacillus_sp_DTU-UNIPD958	M_co2_e	1.0	0.01	1	0.01
979	community1100	minimal	Clostridia_sp_DTU-UNIPD970	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_co2_e	1.0	0.25	1	0.25
1236	community1124	minimal	Clostridiales_sp_DTU-UNIPD971	Ilumatobacter_sp_DTU-UNIPD920	M_co2_e	1.0	0.5	1	0.5
1431	community1146	minimal	Syntrophothermus_sp_DTU-UNIPD934	Firmicutes_sp_DTU-UNIPD921	M_co2_e	1.0	0.3333333333333333	1	0.3333333333333333
1871	community1192	minimal	Bacillales_sp_DTU-UNIPD969	Firmicutes_sp_DTU-UNIPD923	M_co2_e	1.0	0.01	1	0.01
2924	community1305	minimal	Firmicutes_sp_DTU-UNIPD930	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_co2_e	1.0	0.01	1	0.01
2969	community1312	minimal	Firmicutes_sp_DTU-UNIPD930	Ruminococcaceae_sp_DTU-UNIPD949	M_co2_e	1.0	0.03	1	0.03
3052	community1327	minimal	Firmicutes_sp_DTU-UNIPD930	Bacillus_sp_DTU-UNIPD958	M_co2_e	1.0	0.13	1	0.13
3106	community1337	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_co2_e	1.0	0.01	1	0.01
3283	community1353	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Clostridia_sp_DTU-UNIPD946	M_co2_e	1.0	0.02	1	0.02
3456	community1367	minimal	Syntrophothermus_sp_DTU-UNIPD934	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_co2_e	1.0	0.01	1	0.01
3532	community1373	minimal	Syntrophothermus_sp_DTU-UNIPD934	Limnochordia_sp_DTU-UNIPD962	M_co2_e	1.0	0.06	1	0.06
3645	community1384	minimal	Syntrophothermus_sp_DTU-UNIPD934	Bacillus_sp_DTU-UNIPD958	M_co2_e	1.0	0.02	1	0.02
3698	community1388	minimal	Clostridia_sp_DTU-UNIPD970	Syntrophothermus_sp_DTU-UNIPD934	M_co2_e	1.0	0.5	1	0.5
4096	community1427	minimal	Actinobacteria_sp_DTU-UNIPD965	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_co2_e	1.0	0.3333333333333333	1	0.3333333333333333
4222	community1438	minimal	Clostridia_sp_DTU-UNIPD961	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_co2_e	1.0	0.5	1	0.5
4494	community1463	minimal	Clostridia_sp_DTU-UNIPD961	Firmicutes_sp_DTU-UNIPD940	M_co2_e	1.0	0.5	1	0.5
4688	community1479	minimal	Ca_Caldatribacterium_sp_DTU-UNIPD941	Methanoculleus_thermophilus_DTU-UNIPD927	M_co2_e	1.0	0.01	1	0.01
6088	community1621	minimal	Actinobacteria_sp_DTU-UNIPD965	Clostridiales_sp_DTU-UNIPD939	M_co2_e	1.0	0.1	1	0.1
6149	community1628	minimal	Actinobacteria_sp_DTU-UNIPD965	Clostridia_sp_DTU-UNIPD964	M_co2_e	1.0	0.02	1	0.02
6168	community1629	minimal	Actinobacteria_sp_DTU-UNIPD965	Ruminococcaceae_sp_DTU-UNIPD968	M_co2_e	1.0	0.05	1	0.05
6227	community1633	minimal	Actinobacteria_sp_DTU-UNIPD965	Bacteroidales_sp_DTU-UNIPD922	M_co2_e	1.0	0.02	1	0.02
6374	community1646	minimal	Clostridia_sp_DTU-UNIPD970	Bacillales_sp_DTU-UNIPD969	M_co2_e	1.0	0.02	1	0.02
6574	community1667	minimal	Methanoculleus_thermophilus_DTU-UNIPD927	Cloacibacillus_sp_DTU-UNIPD942	M_co2_e	1.0	0.01	1	0.01
6658	community1675	minimal	Clostridia_sp_DTU-UNIPD970	Methanoculleus_thermophilus_DTU-UNIPD927	M_co2_e	1.0	0.5	1	0.5
6661	community1676	minimal	Methanoculleus_thermophilus_DTU-UNIPD927	Limnochordia_sp_DTU-UNIPD975	M_co2_e	1.0	0.1	1	0.1
7174	community1726	minimal	Bacillus_sp_DTU-UNIPD958	Acholeplasmatales_sp_DTU-UNIPD950	M_co2_e	1.0	0.04	1	0.04
7476	community1756	minimal	Clostridia_sp_DTU-UNIPD970	Clostridia_sp_DTU-UNIPD964	M_co2_e	1.0	0.5	1	0.5
7569	community1765	minimal	Clostridia_sp_DTU-UNIPD970	Methanothermobacter_wolfeii_DTU-UNIPD957	M_co2_e	1.0	0.32	1	0.32
7582	community1766	minimal	Clostridia_sp_DTU-UNIPD970	Bacteroidales_sp_DTU-UNIPD922	M_co2_e	1.0	0.01	1	0.01
8936	community30	minimal	Syntrophothermus_sp_DTU-UNIPD934	Petrimonas_sp_DTU-UNIPD925	M_co2_e	1.0	0.5	1	0.5
9093	community317	minimal	Burkholderiales_sp_DTU-UNIPD944	Clostridia_sp_DTU-UNIPD951	M_co2_e	1.0	0.01	1	0.01
9102	community318	minimal	Burkholderiales_sp_DTU-UNIPD944	Firmicutes_sp_DTU-UNIPD954	M_co2_e	1.0	0.02	1	0.02
9284	community335	minimal	Burkholderiales_sp_DTU-UNIPD944	Clostridia_sp_DTU-UNIPD970	M_co2_e	1.0	0.01	1	0.01
9860	community387	minimal	Azonexus_sp_DTU-UNIPD953	Ruminococcaceae_sp_DTU-UNIPD968	M_co2_e	1.0	0.01	1	0.01
10295	community426	minimal	Actinobacteria_sp_DTU-UNIPD965	Sphaerochaeta_sp_DTU-UNIPD955	M_co2_e	1.0	0.3333333333333333	1	0.3333333333333333
10447	community440	minimal	Clostridia_sp_DTU-UNIPD970	Sphaerochaeta_sp_DTU-UNIPD955	M_co2_e	1.0	0.3333333333333333	1	0.3333333333333333
10494	community445	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Fermentimonas_massiliensis_DTU-UNIPD960	M_co2_e	1.0	1.0	1	1.0
11379	community548	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	M_co2_e	1.0	0.02	1	0.02
11455	community553	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Aeromicrobium_sp_DTU-UNIPD973	M_co2_e	1.0	0.01	1	0.01
11504	community557	minimal	Pseudorhodobacter_sp_DTU-UNIPD967	Ilumatobacter_sp_DTU-UNIPD920	M_co2_e	1.0	0.01	1	0.01
12617	community648	minimal	Synergistetes_sp_DTU-UNIPD919	Aeromicrobium_sp_DTU-UNIPD973	M_co2_e	1.0	0.03	1	0.03
