Species	abundance	taxonomy	gives to	average probability of donation	receives from	average probability to receive	behaviour
Limnochordia_sp_DTU-UNIPD975	24.682213172387502	Firmicutes	1.0	0.1	0.0	0.0	mainly donor
Methanothermobacter_wolfeii_DTU-UNIPD957	16.3415602173	Euryarchaeota	1.0	0.32	0.0	0.0	mainly donor
Firmicutes_sp_DTU-UNIPD974	7.347487599370001	Firmicutes	0.0	0.0	1.0	0.01	mainly receiver
Firmicutes_sp_DTU-UNIPD921	1.8561938449762498	Firmicutes	1.0	0.3333333333333333	0.0	0.0	mainly donor
Firmicutes_sp_DTU-UNIPD923	1.667382155350625	Firmicutes	1.0	0.01	0.0	0.0	mainly donor
Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	1.5810804061331252	Firmicutes	1.0	0.02	0.0	0.0	mainly donor
Clostridia_sp_DTU-UNIPD951	1.4523923630272497	Firmicutes	3.0	0.013333333333333334	0.0	0.0	mainly donor
Bacteroidales_sp_DTU-UNIPD922	1.384704744192375	Bacteroidetes	2.0	0.015	0.0	0.0	mainly donor
Ruminococcaceae_sp_DTU-UNIPD949	0.864320981831375	Firmicutes	1.0	0.03	0.0	0.0	mainly donor
Clostridia_sp_DTU-UNIPD948	0.8599189818447499	Firmicutes	1.0	0.02	0.0	0.0	mainly donor
Clostridiales_sp_DTU-UNIPD956	0.853263566140125	Firmicutes	1.0	0.5	3.0	0.11666666666666665	mainly donor
Synergistetes_sp_DTU-UNIPD919	0.7643460187483749	Synergistetes	0.0	0.0	5.0	0.06200000000000001	mainly receiver
Cloacibacillus_sp_DTU-UNIPD942	0.6626799321140001	Synergistetes	2.0	0.01	0.0	0.0	mainly donor
Firmicutes_sp_DTU-UNIPD930	0.6371492361472498	Firmicutes	0.0	0.0	3.0	0.05666666666666667	mainly receiver
Clostridia_sp_DTU-UNIPD961	0.606100889460875	Firmicutes	0.0	0.0	2.0	0.5	mainly receiver
Ca_Dethiobacteraceae_sp_DTU-UNIPD976	0.587405401881	Firmicutes	1.0	0.25	0.0	0.0	mainly donor
Ca_Caldatribacterium_sp_DTU-UNIPD941	0.58528711601025	Candidatus Atribacteria	1.0	0.01	1.0	0.01	commensalistic
Ca. Dethiobacteraceae_sp_DTU-UNIPD931	0.5203537084561249	Firmicutes	2.0	0.01	2.0	0.015	mainly receiver
Rikenellaceae_sp_DTU-UNIPD929	0.5174963935558751	Bacteroidetes	0.0	0.0	7.0	0.012857142857142857	mainly receiver
Limnochordia_sp_DTU-UNIPD962	0.5157870408718751	Firmicutes	2.0	0.14	0.0	0.0	mainly donor
Azonexus_sp_DTU-UNIPD953	0.48903270626662504	Proteobacteria	0.0	0.0	1.0	0.01	mainly receiver
Methanoculleus_thermophilus_DTU-UNIPD927	0.4667485008489001	Euryarchaeota	2.0	0.255	2.0	0.055	mainly donor
Clostridia_sp_DTU-UNIPD970	0.4048198369388751	Firmicutes	1.0	0.01	8.0	0.30416666666666664	mainly receiver
Fermentimonas_massiliensis_DTU-UNIPD960	0.39329527630208744	Bacteroidetes	2.0	0.505	0.0	0.0	mainly donor
Firmicutes_sp_DTU-UNIPD940	0.39251017269862504	Firmicutes	2.0	0.26	0.0	0.0	mainly donor
Clostridia_sp_DTU-UNIPD964	0.35591389045287497	Firmicutes	2.0	0.26	0.0	0.0	mainly donor
Bacillus_sp_DTU-UNIPD958	0.3547254221594749	Firmicutes	3.0	0.05333333333333334	1.0	0.04	mainly donor
Syntrophothermus_sp_DTU-UNIPD934	0.30336820980812507	Firmicutes	1.0	0.5	6.0	0.23722222222222222	mainly donor
Firmicutes_sp_DTU-UNIPD954	0.3005140403915	Firmicutes	1.0	0.02	0.0	0.0	mainly donor
Ca_Anaerovoracaceae_sp_DTU-UNIPD937	0.2919228396975	Firmicutes	4.0	0.21333333333333332	0.0	0.0	mainly donor
Acholeplasmatales_sp_DTU-UNIPD950	0.2885548547173625	Tenericutes	2.0	0.035	0.0	0.0	mainly donor
Petrimonas_sp_DTU-UNIPD925	0.27195226747641255	Bacteroidetes	1.0	0.5	0.0	0.0	mainly donor
Clostridiales_sp_DTU-UNIPD971	0.237272022405375	Firmicutes	1.0	0.03	1.0	0.5	mainly receiver
Aeromicrobium_sp_DTU-UNIPD973	0.2278567861825125	Actinobacteria	2.0	0.02	0.0	0.0	mainly donor
Pseudorhodobacter_sp_DTU-UNIPD967	0.22107669847825	Proteobacteria	0.0	0.0	4.0	0.26	mainly receiver
Ruminococcaceae_sp_DTU-UNIPD968	0.2075722028065	Firmicutes	2.0	0.030000000000000002	0.0	0.0	mainly donor
Bacillales_sp_DTU-UNIPD969	0.198795976754525	Firmicutes	1.0	0.02	1.0	0.01	mainly donor
Clostridia_sp_DTU-UNIPD946	0.18435101750500002	Firmicutes	2.0	0.16	0.0	0.0	mainly donor
Sphaerochaeta_sp_DTU-UNIPD955	0.18228247983845003	Spirochaetes	2.0	0.3333333333333333	0.0	0.0	mainly donor
Burkholderiales_sp_DTU-UNIPD944	0.1807903717197625	Proteobacteria	0.0	0.0	3.0	0.013333333333333334	mainly receiver
Ilumatobacter_sp_DTU-UNIPD920	0.170423130563025	Actinobacteria	2.0	0.255	0.0	0.0	mainly donor
Actinobacteria_sp_DTU-UNIPD965	0.16372495835116252	Actinobacteria	1.0	0.01	6.0	0.14277777777777778	mainly receiver
Clostridiales_sp_DTU-UNIPD939	0.1611282212718375	Firmicutes	1.0	0.1	0.0	0.0	mainly donor
bin_8_metaspades	0.0	Unknown	1.0	0.02	0.0	0.0	mainly donor
