compound	donor	gives to	average probability of donation
M_12ppd__S_e	Actinobacteria_sp_DTU-UNIPD965	3	0.3833333333333333
M_12ppd__S_e	Bacteroidales_sp_DTU-UNIPD922	2	0.075
M_12ppd__S_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	1	0.6666666666666666
M_12ppd__S_e	Catabacter_sp_DTU-UNIPD932	1	1.0
M_12ppd__S_e	Clostridia_sp_DTU-UNIPD951	2	1.0
M_12ppd__S_e	Clostridiales_sp_DTU-UNIPD939	1	0.23
M_12ppd__S_e	Fermentimonas_massiliensis_DTU-UNIPD960	2	0.505
M_12ppd__S_e	Firmicutes_sp_DTU-UNIPD930	3	0.7366666666666667
M_12ppd__S_e	Ruminococcaceae_sp_DTU-UNIPD968	3	0.22999999999999998
M_12ppd__S_e	Synergistetes_sp_DTU-UNIPD919	2	0.265
M_2ddglcn_e	Pseudorhodobacter_sp_DTU-UNIPD967	1	0.51
M_2pg_e	Clostridia_sp_DTU-UNIPD970	1	0.54
M_3oxoadp_e	Limnochordia_sp_DTU-UNIPD975	1	0.01
M_4abut_e	Acidaminococcales_sp_DTU-UNIPD952	6	0.5933333333333334
M_4abut_e	Alcaligenaceae_sp_DTU-UNIPD943	1	1.0
M_4abut_e	Bacillus_sp_DTU-UNIPD918	4	0.4525
M_4abut_e	Bacillus_sp_DTU-UNIPD958	5	0.256
M_4abut_e	Bacteroidales_sp_DTU-UNIPD936	1	1.0
M_4abut_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	3	0.48
M_4abut_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	5	0.386
M_4abut_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	5	0.40800000000000003
M_4abut_e	Catabacter_sp_DTU-UNIPD932	1	1.0
M_4abut_e	Clostridia_sp_DTU-UNIPD946	7	0.2814285714285714
M_4abut_e	Clostridia_sp_DTU-UNIPD948	1	1.0
M_4abut_e	Clostridia_sp_DTU-UNIPD951	5	0.45999999999999996
M_4abut_e	Clostridia_sp_DTU-UNIPD964	4	0.4025
M_4abut_e	Clostridia_sp_DTU-UNIPD970	3	0.48333333333333334
M_4abut_e	Firmicutes_sp_DTU-UNIPD921	7	0.3285714285714286
M_4abut_e	Firmicutes_sp_DTU-UNIPD923	1	0.02
M_4abut_e	Firmicutes_sp_DTU-UNIPD930	4	0.49
M_4abut_e	Firmicutes_sp_DTU-UNIPD940	6	0.48333333333333334
M_4abut_e	Firmicutes_sp_DTU-UNIPD954	4	0.29
M_4abut_e	Firmicutes_sp_DTU-UNIPD974	2	0.02
M_4abut_e	Limnochordia_sp_DTU-UNIPD962	3	0.5499999999999999
M_4abut_e	Methanothermobacter_wolfeii_DTU-UNIPD957	1	1.0
M_4abut_e	Pseudorhodobacter_sp_DTU-UNIPD967	4	0.6725
M_4abut_e	Rikenellaceae_sp_DTU-UNIPD929	4	0.3933333333333333
