	community	medium	receiver	donor	compound	scs	mus	mps	smetana
103	community1005	minimal	Firmicutes_sp_DTU-UNIPD945	Firmicutes_sp_DTU-UNIPD974	M_etoh_e	1.0	0.25	1	0.25
289	community1025	minimal	Clostridia_sp_DTU-UNIPD970	Firmicutes_sp_DTU-UNIPD974	M_etoh_e	1.0	0.25	1	0.25
1416	community1145	minimal	Firmicutes_sp_DTU-UNIPD921	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_etoh_e	1.0	0.02	1	0.02
1432	community1146	minimal	Syntrophothermus_sp_DTU-UNIPD934	Firmicutes_sp_DTU-UNIPD921	M_etoh_e	1.0	0.3333333333333333	1	0.3333333333333333
1471	community1150	minimal	Firmicutes_sp_DTU-UNIPD921	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_etoh_e	1.0	0.07	1	0.07
1486	community1151	minimal	Firmicutes_sp_DTU-UNIPD945	Firmicutes_sp_DTU-UNIPD921	M_etoh_e	1.0	0.5	1	0.5
1524	community1156	minimal	Firmicutes_sp_DTU-UNIPD921	Limnochordia_sp_DTU-UNIPD962	M_etoh_e	1.0	0.07	1	0.07
1530	community1156	minimal	Limnochordia_sp_DTU-UNIPD962	Firmicutes_sp_DTU-UNIPD921	M_etoh_e	1.0	0.03	1	0.03
1607	community1163	minimal	Firmicutes_sp_DTU-UNIPD921	Cloacibacillus_sp_DTU-UNIPD942	M_etoh_e	1.0	0.01	1	0.01
1659	community1171	minimal	Clostridia_sp_DTU-UNIPD970	Firmicutes_sp_DTU-UNIPD921	M_etoh_e	1.0	1.0	1	1.0
2040	community1212	minimal	Clostridia_sp_DTU-UNIPD924	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_etoh_e	1.0	0.01	1	0.01
2049	community1213	minimal	Clostridia_sp_DTU-UNIPD924	Syntrophothermus_sp_DTU-UNIPD934	M_etoh_e	1.0	0.04	1	0.04
2086	community1218	minimal	Clostridia_sp_DTU-UNIPD924	Firmicutes_sp_DTU-UNIPD945	M_etoh_e	1.0	0.03	1	0.03
2116	community1223	minimal	Limnochordia_sp_DTU-UNIPD962	Clostridia_sp_DTU-UNIPD924	M_etoh_e	1.0	0.5	1	0.5
2210	community1234	minimal	Clostridia_sp_DTU-UNIPD924	Bacillus_sp_DTU-UNIPD958	M_etoh_e	1.0	0.05	1	0.05
2224	community1236	minimal	Clostridia_sp_DTU-UNIPD924	Clostridia_sp_DTU-UNIPD964	M_etoh_e	1.0	0.01	1	0.01
3125	community1339	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_etoh_e	1.0	0.03	1	0.03
3143	community1340	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Firmicutes_sp_DTU-UNIPD945	M_etoh_e	1.0	0.02	1	0.02
3152	community1340	minimal	Firmicutes_sp_DTU-UNIPD945	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_etoh_e	1.0	1.0	1	1.0
3172	community1343	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Firmicutes_sp_DTU-UNIPD954	M_etoh_e	1.0	0.03	1	0.03
3207	community1345	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Limnochordia_sp_DTU-UNIPD962	M_etoh_e	1.0	0.03	1	0.03
3271	community1352	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Cloacibacillus_sp_DTU-UNIPD942	M_etoh_e	1.0	0.03	1	0.03
3321	community1356	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Bacillus_sp_DTU-UNIPD958	M_etoh_e	1.0	0.03	1	0.03
3335	community1357	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Clostridia_sp_DTU-UNIPD961	M_etoh_e	1.0	0.06	1	0.06
3351	community1358	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Clostridia_sp_DTU-UNIPD964	M_etoh_e	1.0	0.04	1	0.04
3370	community1360	minimal	Clostridia_sp_DTU-UNIPD970	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_etoh_e	1.0	1.0	1	1.0
3394	community1362	minimal	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	Methanothermobacter_wolfeii_DTU-UNIPD957	M_etoh_e	1.0	0.03	1	0.03
3457	community1367	minimal	Syntrophothermus_sp_DTU-UNIPD934	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_etoh_e	1.0	0.21	1	0.21
3498	community1370	minimal	Syntrophothermus_sp_DTU-UNIPD934	Clostridia_sp_DTU-UNIPD951	M_etoh_e	1.0	0.02	1	0.02
3509	community1371	minimal	Syntrophothermus_sp_DTU-UNIPD934	Firmicutes_sp_DTU-UNIPD954	M_etoh_e	1.0	0.26	1	0.26
3533	community1373	minimal	Syntrophothermus_sp_DTU-UNIPD934	Limnochordia_sp_DTU-UNIPD962	M_etoh_e	1.0	0.14	1	0.14
3596	community1380	minimal	Syntrophothermus_sp_DTU-UNIPD934	Cloacibacillus_sp_DTU-UNIPD942	M_etoh_e	1.0	0.18	1	0.18
3646	community1384	minimal	Syntrophothermus_sp_DTU-UNIPD934	Bacillus_sp_DTU-UNIPD958	M_etoh_e	1.0	0.25	1	0.25
3659	community1385	minimal	Syntrophothermus_sp_DTU-UNIPD934	Clostridia_sp_DTU-UNIPD961	M_etoh_e	1.0	0.03	1	0.03
3669	community1386	minimal	Syntrophothermus_sp_DTU-UNIPD934	Clostridia_sp_DTU-UNIPD964	M_etoh_e	1.0	0.05	1	0.05
3699	community1388	minimal	Clostridia_sp_DTU-UNIPD970	Syntrophothermus_sp_DTU-UNIPD934	M_etoh_e	1.0	1.0	1	1.0
3714	community1390	minimal	Syntrophothermus_sp_DTU-UNIPD934	Methanothermobacter_wolfeii_DTU-UNIPD957	M_etoh_e	1.0	0.05	1	0.05
4309	community1445	minimal	Firmicutes_sp_DTU-UNIPD940	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_etoh_e	1.0	0.03	1	0.03
4330	community1446	minimal	Firmicutes_sp_DTU-UNIPD945	Firmicutes_sp_DTU-UNIPD940	M_etoh_e	1.0	1.0	1	1.0
4348	community1448	minimal	Firmicutes_sp_DTU-UNIPD940	Clostridia_sp_DTU-UNIPD951	M_etoh_e	1.0	0.04	1	0.04
4359	community1449	minimal	Firmicutes_sp_DTU-UNIPD940	Firmicutes_sp_DTU-UNIPD954	M_etoh_e	1.0	0.04	1	0.04
