Species	abundance	taxonomy	gives to	average probability of donation	receives from	average probability to receive	behaviour
Methanothermobacter_wolfeii_DTU-UNIPD957	16.3415602173	Euryarchaeota	15.0	0.14933333333333332	0.0	0.0	mainly donor
Firmicutes_sp_DTU-UNIPD974	7.347487599370001	Firmicutes	8.0	0.08000000000000002	0.0	0.0	mainly donor
Firmicutes_sp_DTU-UNIPD921	1.8561938449762498	Firmicutes	11.0	0.22212121212121208	4.0	0.04250000000000001	mainly donor
Bacillus_sp_DTU-UNIPD918	1.4722142713575002	Firmicutes	4.0	0.18666666666666665	8.0	0.02125	mainly donor
Clostridia_sp_DTU-UNIPD951	1.4523923630272497	Firmicutes	10.0	0.16700000000000004	5.0	0.05800000000000001	mainly donor
Clostridia_sp_DTU-UNIPD948	0.8599189818447499	Firmicutes	4.0	0.0325	12.0	0.03333333333333333	mainly receiver
Clostridiales_sp_DTU-UNIPD956	0.853263566140125	Firmicutes	8.0	0.2125	7.0	0.15285714285714286	mainly donor
Cloacibacillus_sp_DTU-UNIPD942	0.6626799321140001	Synergistetes	16.0	0.09437500000000001	2.0	0.18666666666666665	mainly receiver
Clostridia_sp_DTU-UNIPD961	0.606100889460875	Firmicutes	13.0	0.16897435897435897	2.0	0.045	mainly donor
Ca_Caldatribacterium_sp_DTU-UNIPD941	0.58528711601025	Candidatus Atribacteria	8.0	0.057499999999999996	11.0	0.06909090909090909	mainly receiver
Ca. Dethiobacteraceae_sp_DTU-UNIPD931	0.5203537084561249	Firmicutes	10.0	0.225	9.0	0.03333333333333334	mainly donor
Limnochordia_sp_DTU-UNIPD962	0.5157870408718751	Firmicutes	13.0	0.23769230769230767	7.0	0.10714285714285716	mainly donor
Azonexus_sp_DTU-UNIPD953	0.48903270626662504	Proteobacteria	0.0	0.0	18.0	0.04833333333333334	mainly receiver
Clostridia_sp_DTU-UNIPD970	0.4048198369388751	Firmicutes	5.0	0.034	16.0	0.8125	mainly receiver
Firmicutes_sp_DTU-UNIPD940	0.39251017269862504	Firmicutes	5.0	0.23800000000000004	9.0	0.04	mainly donor
Clostridia_sp_DTU-UNIPD964	0.35591389045287497	Firmicutes	15.0	0.08866666666666669	1.0	0.02	mainly donor
Bacillus_sp_DTU-UNIPD958	0.3547254221594749	Firmicutes	13.0	0.08461538461538462	2.0	0.030000000000000002	mainly donor
Syntrophothermus_sp_DTU-UNIPD934	0.30336820980812507	Firmicutes	6.0	0.21333333333333337	11.0	0.18393939393939396	mainly donor
Alcaligenaceae_sp_DTU-UNIPD943	0.30262189290029995	Proteobacteria	2.0	0.75	14.0	0.038571428571428576	mainly donor
Firmicutes_sp_DTU-UNIPD945	0.302563552390625	Firmicutes	6.0	0.02333333333333333	16.0	0.644375	mainly receiver
Firmicutes_sp_DTU-UNIPD954	0.3005140403915	Firmicutes	12.0	0.16083333333333336	6.0	0.065	mainly donor
Clostridia_sp_DTU-UNIPD924	0.267677944587925	Firmicutes	6.0	0.11833333333333335	5.0	0.028000000000000004	mainly donor
Aeromicrobium_sp_DTU-UNIPD973	0.2278567861825125	Actinobacteria	9.0	0.23444444444444448	2.0	0.025	mainly donor
Pseudorhodobacter_sp_DTU-UNIPD967	0.22107669847825	Proteobacteria	5.0	0.4966666666666667	19.0	0.05684210526315791	mainly donor
Sphaerochaeta_sp_DTU-UNIPD955	0.18228247983845003	Spirochaetes	3.0	0.5755555555555555	21.0	0.07285714285714287	mainly donor
