	community	medium	receiver	donor	compound	scs	mus	mps	smetana
71	community1003	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD940	M_h2_e	1.0	0.04	1	0.04
83	community1004	minimal	Firmicutes_sp_DTU-UNIPD974	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_h2_e	1.0	0.03	1	0.03
105	community1005	minimal	Firmicutes_sp_DTU-UNIPD945	Firmicutes_sp_DTU-UNIPD974	M_h2_e	1.0	0.5	1	0.5
118	community1007	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD951	M_h2_e	1.0	0.05	1	0.05
124	community1008	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD954	M_h2_e	1.0	0.02	1	0.02
134	community1009	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD959	M_h2_e	1.0	0.02	1	0.02
149	community1011	minimal	Firmicutes_sp_DTU-UNIPD974	Actinobacteria_sp_DTU-UNIPD965	M_h2_e	1.0	0.04	1	0.04
198	community1017	minimal	Firmicutes_sp_DTU-UNIPD974	Cloacibacillus_sp_DTU-UNIPD942	M_h2_e	1.0	0.01	1	0.01
244	community1021	minimal	Firmicutes_sp_DTU-UNIPD974	Bacillus_sp_DTU-UNIPD958	M_h2_e	1.0	0.02	1	0.02
260	community1023	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD964	M_h2_e	1.0	0.06	1	0.06
492	community105	minimal	Rikenellaceae_sp_DTU-UNIPD929	Cloacibacillus_sp_DTU-UNIPD942	M_h2_e	1.0	0.1	1	0.1
847	community109	minimal	Rikenellaceae_sp_DTU-UNIPD929	Bacillus_sp_DTU-UNIPD958	M_h2_e	1.0	0.11	1	0.11
1068	community111	minimal	Rikenellaceae_sp_DTU-UNIPD929	Clostridia_sp_DTU-UNIPD964	M_h2_e	1.0	0.08	1	0.08
1435	community1146	minimal	Syntrophothermus_sp_DTU-UNIPD934	Firmicutes_sp_DTU-UNIPD921	M_h2_e	1.0	0.3333333333333333	1	0.3333333333333333
1472	community1150	minimal	Firmicutes_sp_DTU-UNIPD921	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_h2_e	1.0	0.04	1	0.04
1490	community1151	minimal	Firmicutes_sp_DTU-UNIPD945	Firmicutes_sp_DTU-UNIPD921	M_h2_e	1.0	0.5	1	0.5
