Species	abundance	taxonomy	gives to	average probability of donation	receives from	average probability to receive	behaviour
Firmicutes_sp_DTU-UNIPD974	7.347487599370001	Firmicutes	5.0	0.308	11.0	0.03181818181818182	mainly donor
Firmicutes_sp_DTU-UNIPD921	1.8561938449762498	Firmicutes	10.0	0.13133333333333333	3.0	0.02333333333333333	mainly donor
Bacillus_sp_DTU-UNIPD918	1.4722142713575002	Firmicutes	6.0	0.3216666666666667	5.0	0.024	mainly donor
Clostridia_sp_DTU-UNIPD951	1.4523923630272497	Firmicutes	12.0	0.1277777777777778	5.0	0.046	mainly donor
Bacteroidales_sp_DTU-UNIPD922	1.384704744192375	Bacteroidetes	15.0	0.07933333333333335	0.0	0.0	mainly donor
Clostridia_sp_DTU-UNIPD948	0.8599189818447499	Firmicutes	6.0	0.24500000000000002	15.0	0.04533333333333334	mainly donor
Clostridiales_sp_DTU-UNIPD956	0.853263566140125	Firmicutes	11.0	0.2218181818181818	2.0	0.035	mainly donor
Cloacibacillus_sp_DTU-UNIPD942	0.6626799321140001	Synergistetes	13.0	0.1153846153846154	2.0	0.035	mainly donor
Ca_Caldatribacterium_sp_DTU-UNIPD941	0.58528711601025	Candidatus Atribacteria	11.0	0.13272727272727275	10.0	0.073	mainly donor
Ca. Dethiobacteraceae_sp_DTU-UNIPD931	0.5203537084561249	Firmicutes	6.0	0.04833333333333333	9.0	0.03222222222222222	mainly donor
Rikenellaceae_sp_DTU-UNIPD929	0.5174963935558751	Bacteroidetes	1.0	0.05	20.0	0.16100000000000003	mainly receiver
Limnochordia_sp_DTU-UNIPD962	0.5157870408718751	Firmicutes	9.0	0.11555555555555556	7.0	0.12285714285714287	mainly receiver
Azonexus_sp_DTU-UNIPD953	0.48903270626662504	Proteobacteria	2.0	0.09	18.0	0.06833333333333334	mainly donor
Fermentimonas_massiliensis_DTU-UNIPD960	0.39329527630208744	Bacteroidetes	4.0	0.33	6.0	0.03666666666666667	mainly donor
Firmicutes_sp_DTU-UNIPD940	0.39251017269862504	Firmicutes	8.0	0.16875	8.0	0.06	mainly donor
Clostridia_sp_DTU-UNIPD964	0.35591389045287497	Firmicutes	17.0	0.12352941176470592	1.0	0.02	mainly donor
Bacillus_sp_DTU-UNIPD958	0.3547254221594749	Firmicutes	14.0	0.08071428571428574	0.0	0.0	mainly donor
Firmicutes_sp_DTU-UNIPD959	0.30711430306587495	Firmicutes	12.0	0.13944444444444445	3.0	0.17333333333333334	mainly receiver
Syntrophothermus_sp_DTU-UNIPD934	0.30336820980812507	Firmicutes	5.0	0.25000000000000006	12.0	0.21611111111111114	mainly donor
Firmicutes_sp_DTU-UNIPD945	0.302563552390625	Firmicutes	1.0	0.01	16.0	0.630625	mainly receiver
Firmicutes_sp_DTU-UNIPD954	0.3005140403915	Firmicutes	13.0	0.06000000000000001	5.0	0.22400000000000003	mainly receiver
Petrimonas_sp_DTU-UNIPD925	0.27195226747641255	Bacteroidetes	1.0	0.5	14.0	0.06142857142857143	mainly donor
Clostridia_sp_DTU-UNIPD924	0.267677944587925	Firmicutes	8.0	0.15625000000000003	4.0	0.135	mainly donor
Syntrophomonas_sp_DTU-UNIPD935	0.21469693578112498	Firmicutes	0.0	0.0	1.0	0.01	mainly receiver
Sphaerochaeta_sp_DTU-UNIPD955	0.18228247983845003	Spirochaetes	5.0	0.33266666666666667	20.0	0.08600000000000001	mainly donor
Actinobacteria_sp_DTU-UNIPD965	0.16372495835116252	Actinobacteria	12.0	0.10500000000000002	10.0	0.4130000000000001	mainly receiver
