	community	medium	receiver	donor	compound	scs	mus	mps	smetana
20	community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_ile__L_e	1.0	1.0	1	1.0
39	community1000	minimal	Firmicutes_sp_DTU-UNIPD974	Syntrophothermus_sp_DTU-UNIPD934	M_ile__L_e	1.0	1.0	1	1.0
61	community1002	minimal	Firmicutes_sp_DTU-UNIPD974	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_ile__L_e	1.0	1.0	1	1.0
74	community1003	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD940	M_ile__L_e	1.0	1.0	1	1.0
109	community1006	minimal	Firmicutes_sp_DTU-UNIPD974	Ruminococcaceae_sp_DTU-UNIPD949	M_ile__L_e	1.0	1.0	1	1.0
137	community1009	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD959	M_ile__L_e	1.0	1.0	1	1.0
145	community101	minimal	Rikenellaceae_sp_DTU-UNIPD929	Clostridiales_sp_DTU-UNIPD971	M_ile__L_e	1.0	1.0	1	1.0
152	community1011	minimal	Firmicutes_sp_DTU-UNIPD974	Actinobacteria_sp_DTU-UNIPD965	M_ile__L_e	1.0	1.0	1	1.0
167	community1013	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridiales_sp_DTU-UNIPD971	M_ile__L_e	1.0	1.0	1	1.0
187	community1015	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD938	M_ile__L_e	1.0	1.0	1	1.0
202	community1017	minimal	Firmicutes_sp_DTU-UNIPD974	Cloacibacillus_sp_DTU-UNIPD942	M_ile__L_e	1.0	1.0	1	1.0
214	community1018	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD946	M_ile__L_e	1.0	1.0	1	1.0
222	community1019	minimal	Firmicutes_sp_DTU-UNIPD974	Acholeplasmatales_sp_DTU-UNIPD950	M_ile__L_e	1.0	1.0	1	1.0
245	community1021	minimal	Firmicutes_sp_DTU-UNIPD974	Bacillus_sp_DTU-UNIPD958	M_ile__L_e	1.0	1.0	1	1.0
276	community1024	minimal	Firmicutes_sp_DTU-UNIPD974	Ruminococcaceae_sp_DTU-UNIPD968	M_ile__L_e	1.0	1.0	1	1.0
284	community1025	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD970	M_ile__L_e	1.0	1.0	1	1.0
329	community103	minimal	Rikenellaceae_sp_DTU-UNIPD929	Firmicutes_sp_DTU-UNIPD938	M_ile__L_e	1.0	1.0	1	1.0
342	community1031	minimal	bin_8_metaspades	Firmicutes_sp_DTU-UNIPD921	M_ile__L_e	1.0	1.0	1	1.0
367	community1035	minimal	bin_8_metaspades	Tepidanaerobacter_sp_DTU-UNIPD928	M_ile__L_e	1.0	1.0	1	1.0
376	community1036	minimal	bin_8_metaspades	Firmicutes_sp_DTU-UNIPD930	M_ile__L_e	1.0	1.0	1	1.0
381	community1037	minimal	bin_8_metaspades	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_ile__L_e	1.0	1.0	1	1.0
390	community1038	minimal	bin_8_metaspades	Syntrophothermus_sp_DTU-UNIPD934	M_ile__L_e	1.0	1.0	1	1.0
402	community104	minimal	Rikenellaceae_sp_DTU-UNIPD929	Clostridiales_sp_DTU-UNIPD939	M_ile__L_e	1.0	1.0	1	1.0
412	community1040	minimal	bin_8_metaspades	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_ile__L_e	1.0	1.0	1	1.0
421	community1041	minimal	bin_8_metaspades	Firmicutes_sp_DTU-UNIPD940	M_ile__L_e	1.0	1.0	1	1.0
436	community1044	minimal	bin_8_metaspades	Ruminococcaceae_sp_DTU-UNIPD949	M_ile__L_e	1.0	1.0	1	1.0
471	community1047	minimal	bin_8_metaspades	Firmicutes_sp_DTU-UNIPD959	M_ile__L_e	1.0	1.0	1	1.0
480	community1049	minimal	bin_8_metaspades	Actinobacteria_sp_DTU-UNIPD965	M_ile__L_e	1.0	1.0	1	1.0
496	community105	minimal	Rikenellaceae_sp_DTU-UNIPD929	Cloacibacillus_sp_DTU-UNIPD942	M_ile__L_e	1.0	1.0	1	1.0
511	community1051	minimal	bin_8_metaspades	Clostridiales_sp_DTU-UNIPD971	M_ile__L_e	1.0	1.0	1	1.0
527	community1053	minimal	bin_8_metaspades	Firmicutes_sp_DTU-UNIPD938	M_ile__L_e	1.0	1.0	1	1.0
538	community1054	minimal	bin_8_metaspades	Clostridiales_sp_DTU-UNIPD939	M_ile__L_e	1.0	1.0	1	1.0
551	community1055	minimal	bin_8_metaspades	Cloacibacillus_sp_DTU-UNIPD942	M_ile__L_e	1.0	1.0	1	1.0
560	community1056	minimal	bin_8_metaspades	Clostridia_sp_DTU-UNIPD946	M_ile__L_e	1.0	1.0	1	1.0
566	community1057	minimal	bin_8_metaspades	Acholeplasmatales_sp_DTU-UNIPD950	M_ile__L_e	1.0	1.0	1	1.0
580	community1059	minimal	bin_8_metaspades	Bacillus_sp_DTU-UNIPD958	M_ile__L_e	1.0	1.0	1	1.0
589	community106	minimal	Rikenellaceae_sp_DTU-UNIPD929	Clostridia_sp_DTU-UNIPD946	M_ile__L_e	1.0	1.0	1	1.0
612	community1062	minimal	bin_8_metaspades	Ruminococcaceae_sp_DTU-UNIPD968	M_ile__L_e	1.0	1.0	1	1.0
619	community1063	minimal	bin_8_metaspades	Clostridia_sp_DTU-UNIPD970	M_ile__L_e	1.0	1.0	1	1.0
657	community1068	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD921	M_ile__L_e	1.0	1.0	1	1.0
670	community107	minimal	Rikenellaceae_sp_DTU-UNIPD929	Acholeplasmatales_sp_DTU-UNIPD950	M_ile__L_e	1.0	1.0	1	1.0
694	community1072	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Tepidanaerobacter_sp_DTU-UNIPD928	M_ile__L_e	1.0	1.0	1	1.0
705	community1073	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD930	M_ile__L_e	1.0	1.0	1	1.0
714	community1074	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_ile__L_e	1.0	1.0	1	1.0
742	community1077	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_ile__L_e	1.0	1.0	1	1.0
751	community1078	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD940	M_ile__L_e	1.0	1.0	1	1.0
791	community1081	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Ruminococcaceae_sp_DTU-UNIPD949	M_ile__L_e	1.0	1.0	1	1.0
818	community1084	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD959	M_ile__L_e	1.0	1.0	1	1.0
829	community1086	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Actinobacteria_sp_DTU-UNIPD965	M_ile__L_e	1.0	1.0	1	1.0
836	community1088	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Clostridiales_sp_DTU-UNIPD971	M_ile__L_e	1.0	1.0	1	1.0
851	community109	minimal	Rikenellaceae_sp_DTU-UNIPD929	Bacillus_sp_DTU-UNIPD958	M_ile__L_e	1.0	1.0	1	1.0
865	community1090	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD938	M_ile__L_e	1.0	1.0	1	1.0
877	community1091	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Clostridiales_sp_DTU-UNIPD939	M_ile__L_e	1.0	1.0	1	1.0
886	community1092	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Cloacibacillus_sp_DTU-UNIPD942	M_ile__L_e	1.0	1.0	1	1.0
891	community1093	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Clostridia_sp_DTU-UNIPD946	M_ile__L_e	1.0	1.0	1	1.0
901	community1094	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Acholeplasmatales_sp_DTU-UNIPD950	M_ile__L_e	1.0	1.0	1	1.0
920	community1096	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Bacillus_sp_DTU-UNIPD958	M_ile__L_e	1.0	1.0	1	1.0
945	community1099	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Ruminococcaceae_sp_DTU-UNIPD968	M_ile__L_e	1.0	1.0	1	1.0
955	community11	minimal	Petrimonas_sp_DTU-UNIPD925	Synergistetes_sp_DTU-UNIPD919	M_ile__L_e	1.0	1.0	1	1.0
974	community1100	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Clostridia_sp_DTU-UNIPD970	M_ile__L_e	1.0	1.0	1	1.0
1013	community1104	minimal	Ilumatobacter_sp_DTU-UNIPD920	Firmicutes_sp_DTU-UNIPD921	M_ile__L_e	1.0	0.07	1	0.07
1060	community1109	minimal	Ilumatobacter_sp_DTU-UNIPD920	Firmicutes_sp_DTU-UNIPD930	M_ile__L_e	1.0	0.03	1	0.03
1085	community1110	minimal	Ilumatobacter_sp_DTU-UNIPD920	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_ile__L_e	1.0	0.07	1	0.07
1185	community112	minimal	Rikenellaceae_sp_DTU-UNIPD929	Ruminococcaceae_sp_DTU-UNIPD968	M_ile__L_e	1.0	1.0	1	1.0
1200	community1120	minimal	Ilumatobacter_sp_DTU-UNIPD920	Firmicutes_sp_DTU-UNIPD959	M_ile__L_e	1.0	0.03	1	0.03
1217	community1122	minimal	Ilumatobacter_sp_DTU-UNIPD920	Actinobacteria_sp_DTU-UNIPD965	M_ile__L_e	1.0	0.07	1	0.07
