Species	abundance	taxonomy	gives to	average probability of donation	receives from	average probability to receive	behaviour
Limnochordia_sp_DTU-UNIPD975	24.682213172387502	Firmicutes	0.0	0.0	22.0	1.0	mainly receiver
Methanothermobacter_wolfeii_DTU-UNIPD957	16.3415602173	Euryarchaeota	0.0	0.0	2.0	0.19666666666666666	mainly receiver
Firmicutes_sp_DTU-UNIPD966	13.563104375449997	Firmicutes	0.0	0.0	3.0	0.01	mainly receiver
Acetomicrobium_sp_DTU-UNIPD972	9.13378503561375	Synergistetes	0.0	0.0	8.0	0.037500000000000006	mainly receiver
Firmicutes_sp_DTU-UNIPD974	7.347487599370001	Firmicutes	0.0	0.0	21.0	1.0	mainly receiver
Firmicutes_sp_DTU-UNIPD921	1.8561938449762498	Firmicutes	29.0	0.6039080459770116	2.0	0.034999999999999996	mainly donor
Firmicutes_sp_DTU-UNIPD923	1.667382155350625	Firmicutes	0.0	0.0	5.0	0.015999999999999997	mainly receiver
Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	1.5810804061331252	Firmicutes	0.0	0.0	10.0	0.038	mainly receiver
Firmicutes_sp_DTU-UNIPD938	1.5291936854062498	Firmicutes	25.0	0.6151999999999999	2.0	0.265	mainly donor
Bacillus_sp_DTU-UNIPD918	1.4722142713575002	Firmicutes	19.0	0.8194736842105262	5.0	0.01	mainly donor
Clostridia_sp_DTU-UNIPD951	1.4523923630272497	Firmicutes	0.0	0.0	2.0	0.01	mainly receiver
Bacteroidales_sp_DTU-UNIPD922	1.384704744192375	Bacteroidetes	0.0	0.0	22.0	1.0	mainly receiver
Ruminococcaceae_sp_DTU-UNIPD949	0.864320981831375	Firmicutes	26.0	0.6284615384615383	6.0	0.07555555555555556	mainly donor
Clostridia_sp_DTU-UNIPD948	0.8599189818447499	Firmicutes	0.0	0.0	8.0	0.0175	mainly receiver
Clostridiales_sp_DTU-UNIPD956	0.853263566140125	Firmicutes	0.0	0.0	6.0	0.01833333333333333	mainly receiver
Synergistetes_sp_DTU-UNIPD919	0.7643460187483749	Synergistetes	14.0	0.9642857142857143	14.0	0.08071428571428574	mainly donor
Cloacibacillus_sp_DTU-UNIPD942	0.6626799321140001	Synergistetes	27.0	0.5566666666666666	2.0	0.025	mainly donor
Firmicutes_sp_DTU-UNIPD930	0.6371492361472498	Firmicutes	25.0	0.5813333333333333	4.0	0.22499999999999998	mainly donor
Clostridia_sp_DTU-UNIPD961	0.606100889460875	Firmicutes	0.0	0.0	21.0	1.0	mainly receiver
Ca_Dethiobacteraceae_sp_DTU-UNIPD976	0.587405401881	Firmicutes	0.0	0.0	21.0	1.0	mainly receiver
Ca_Caldatribacterium_sp_DTU-UNIPD941	0.58528711601025	Candidatus Atribacteria	0.0	0.0	3.0	0.016666666666666666	mainly receiver
Ca. Dethiobacteraceae_sp_DTU-UNIPD931	0.5203537084561249	Firmicutes	25.0	0.6301333333333333	4.0	0.025	mainly donor
Rikenellaceae_sp_DTU-UNIPD929	0.5174963935558751	Bacteroidetes	0.0	0.0	21.0	1.0	mainly receiver
Limnochordia_sp_DTU-UNIPD962	0.5157870408718751	Firmicutes	0.0	0.0	3.0	0.013333333333333334	mainly receiver
Tepidanaerobacter_sp_DTU-UNIPD928	0.499047164131	Firmicutes	21.0	0.6939682539682539	11.0	0.04939393939393941	mainly donor
Azonexus_sp_DTU-UNIPD953	0.48903270626662504	Proteobacteria	0.0	0.0	15.0	0.21799999999999997	mainly receiver
Clostridia_sp_DTU-UNIPD970	0.4048198369388751	Firmicutes	23.0	0.6295652173913043	6.0	0.47222222222222227	mainly donor
Fermentimonas_massiliensis_DTU-UNIPD960	0.39329527630208744	Bacteroidetes	0.0	0.0	2.0	0.02	mainly receiver
Firmicutes_sp_DTU-UNIPD940	0.39251017269862504	Firmicutes	22.0	0.6696969696969697	5.0	0.21200000000000002	mainly donor
Clostridia_sp_DTU-UNIPD964	0.35591389045287497	Firmicutes	0.0	0.0	2.0	0.26	mainly receiver
Bacillus_sp_DTU-UNIPD958	0.3547254221594749	Firmicutes	27.0	0.538148148148148	5.0	0.33266666666666667	mainly donor
Clostridiales_sp_DTU-UNIPD926	0.35125399415425007	Firmicutes	0.0	0.0	2.0	0.045	mainly receiver
Aminobacterium_colombiense_DTU-UNIPD933	0.33312027632725	Synergistetes	0.0	0.0	16.0	1.0	mainly receiver
Sphaerochaeta_sp_DTU-UNIPD963	0.32652143650575005	Spirochaetes	20.0	0.8211666666666666	5.0	0.044	mainly donor
Firmicutes_sp_DTU-UNIPD959	0.30711430306587495	Firmicutes	29.0	0.5241379310344827	3.0	0.04	mainly donor
Syntrophothermus_sp_DTU-UNIPD934	0.30336820980812507	Firmicutes	30.0	0.5564444444444445	0.0	0.0	mainly donor
Alcaligenaceae_sp_DTU-UNIPD943	0.30262189290029995	Proteobacteria	0.0	0.0	9.0	0.11333333333333334	mainly receiver
Firmicutes_sp_DTU-UNIPD945	0.302563552390625	Firmicutes	0.0	0.0	7.0	0.12285714285714287	mainly receiver
Firmicutes_sp_DTU-UNIPD954	0.3005140403915	Firmicutes	0.0	0.0	19.0	1.0	mainly receiver
Ca_Anaerovoracaceae_sp_DTU-UNIPD937	0.2919228396975	Firmicutes	21.0	0.7290476190476189	7.0	0.10000000000000002	mainly donor
