	community	medium	receiver	donor	compound	scs	mus	mps	smetana
5	community1	minimal	Petrimonas_sp_DTU-UNIPD925	Aminobacterium_colombiense_DTU-UNIPD933	M_leu__L_e	1.0	1.0	1	1.0
21	community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_leu__L_e	1.0	1.0	1	1.0
62	community1002	minimal	Firmicutes_sp_DTU-UNIPD974	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_leu__L_e	1.0	0.09	1	0.09
203	community1017	minimal	Firmicutes_sp_DTU-UNIPD974	Cloacibacillus_sp_DTU-UNIPD942	M_leu__L_e	1.0	0.04	1	0.04
215	community1018	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD946	M_leu__L_e	1.0	0.03	1	0.03
304	community1027	minimal	Firmicutes_sp_DTU-UNIPD974	Methanothermobacter_wolfeii_DTU-UNIPD957	M_leu__L_e	1.0	0.22	1	0.22
330	community103	minimal	Rikenellaceae_sp_DTU-UNIPD929	Firmicutes_sp_DTU-UNIPD938	M_leu__L_e	1.0	1.0	1	1.0
343	community1031	minimal	bin_8_metaspades	Firmicutes_sp_DTU-UNIPD921	M_leu__L_e	1.0	1.0	1	1.0
369	community1035	minimal	bin_8_metaspades	Tepidanaerobacter_sp_DTU-UNIPD928	M_leu__L_e	1.0	1.0	1	1.0
377	community1036	minimal	bin_8_metaspades	Firmicutes_sp_DTU-UNIPD930	M_leu__L_e	1.0	1.0	1	1.0
382	community1037	minimal	bin_8_metaspades	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_leu__L_e	1.0	1.0	1	1.0
403	community104	minimal	Rikenellaceae_sp_DTU-UNIPD929	Clostridiales_sp_DTU-UNIPD939	M_leu__L_e	1.0	1.0	1	1.0
414	community1040	minimal	bin_8_metaspades	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_leu__L_e	1.0	1.0	1	1.0
422	community1041	minimal	bin_8_metaspades	Firmicutes_sp_DTU-UNIPD940	M_leu__L_e	1.0	1.0	1	1.0
437	community1044	minimal	bin_8_metaspades	Ruminococcaceae_sp_DTU-UNIPD949	M_leu__L_e	1.0	1.0	1	1.0
497	community105	minimal	Rikenellaceae_sp_DTU-UNIPD929	Cloacibacillus_sp_DTU-UNIPD942	M_leu__L_e	1.0	1.0	1	1.0
529	community1053	minimal	bin_8_metaspades	Firmicutes_sp_DTU-UNIPD938	M_leu__L_e	1.0	1.0	1	1.0
539	community1054	minimal	bin_8_metaspades	Clostridiales_sp_DTU-UNIPD939	M_leu__L_e	1.0	1.0	1	1.0
552	community1055	minimal	bin_8_metaspades	Cloacibacillus_sp_DTU-UNIPD942	M_leu__L_e	1.0	1.0	1	1.0
561	community1056	minimal	bin_8_metaspades	Clostridia_sp_DTU-UNIPD946	M_leu__L_e	1.0	1.0	1	1.0
581	community1059	minimal	bin_8_metaspades	Bacillus_sp_DTU-UNIPD958	M_leu__L_e	1.0	1.0	1	1.0
590	community106	minimal	Rikenellaceae_sp_DTU-UNIPD929	Clostridia_sp_DTU-UNIPD946	M_leu__L_e	1.0	1.0	1	1.0
614	community1062	minimal	bin_8_metaspades	Ruminococcaceae_sp_DTU-UNIPD968	M_leu__L_e	1.0	1.0	1	1.0
620	community1063	minimal	bin_8_metaspades	Clostridia_sp_DTU-UNIPD970	M_leu__L_e	1.0	1.0	1	1.0
637	community1065	minimal	bin_8_metaspades	Methanothermobacter_wolfeii_DTU-UNIPD957	M_leu__L_e	1.0	1.0	1	1.0
658	community1068	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD921	M_leu__L_e	1.0	1.0	1	1.0
695	community1072	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Tepidanaerobacter_sp_DTU-UNIPD928	M_leu__L_e	1.0	1.0	1	1.0
706	community1073	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD930	M_leu__L_e	1.0	1.0	1	1.0
715	community1074	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_leu__L_e	1.0	1.0	1	1.0
