Species	abundance	taxonomy	gives to	average probability of donation	receives from	average probability to receive	behaviour
Limnochordia_sp_DTU-UNIPD975	24.682213172387502	Firmicutes	0.0	0.0	20.0	1.0	mainly receiver
Methanothermobacter_wolfeii_DTU-UNIPD957	16.3415602173	Euryarchaeota	38.0	0.5321052631578947	1.0	0.25	mainly donor
Firmicutes_sp_DTU-UNIPD966	13.563104375449997	Firmicutes	0.0	0.0	15.0	1.0	mainly receiver
Acetomicrobium_sp_DTU-UNIPD972	9.13378503561375	Synergistetes	0.0	0.0	1.0	0.13	mainly receiver
Firmicutes_sp_DTU-UNIPD974	7.347487599370001	Firmicutes	0.0	0.0	5.0	0.096	mainly receiver
Firmicutes_sp_DTU-UNIPD921	1.8561938449762498	Firmicutes	32.0	0.6040625	3.0	0.27	mainly donor
Firmicutes_sp_DTU-UNIPD923	1.667382155350625	Firmicutes	0.0	0.0	17.0	1.0	mainly receiver
Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	1.5810804061331252	Firmicutes	0.0	0.0	4.0	0.10750000000000001	mainly receiver
Firmicutes_sp_DTU-UNIPD938	1.5291936854062498	Firmicutes	24.0	0.69875	6.0	0.15166666666666667	mainly donor
Bacillus_sp_DTU-UNIPD918	1.4722142713575002	Firmicutes	23.0	0.7491304347826085	9.0	0.13555555555555554	mainly donor
Clostridia_sp_DTU-UNIPD951	1.4523923630272497	Firmicutes	0.0	0.0	2.0	0.12000000000000001	mainly receiver
Bacteroidales_sp_DTU-UNIPD922	1.384704744192375	Bacteroidetes	0.0	0.0	20.0	1.0	mainly receiver
Ruminococcaceae_sp_DTU-UNIPD949	0.864320981831375	Firmicutes	29.0	0.5651724137931035	6.0	0.3	mainly donor
Clostridia_sp_DTU-UNIPD948	0.8599189818447499	Firmicutes	0.0	0.0	9.0	0.1277777777777778	mainly receiver
Clostridiales_sp_DTU-UNIPD956	0.853263566140125	Firmicutes	0.0	0.0	8.0	0.07875	mainly receiver
Synergistetes_sp_DTU-UNIPD919	0.7643460187483749	Synergistetes	18.0	0.8555555555555556	9.0	0.1611111111111111	mainly donor
Cloacibacillus_sp_DTU-UNIPD942	0.6626799321140001	Synergistetes	40.0	0.49449999999999994	1.0	0.11	mainly donor
Firmicutes_sp_DTU-UNIPD930	0.6371492361472498	Firmicutes	26.0	0.6846153846153845	3.0	0.15666666666666665	mainly donor
Clostridia_sp_DTU-UNIPD961	0.606100889460875	Firmicutes	0.0	0.0	20.0	1.0	mainly receiver
Ca_Dethiobacteraceae_sp_DTU-UNIPD976	0.587405401881	Firmicutes	0.0	0.0	20.0	1.0	mainly receiver
Ca_Caldatribacterium_sp_DTU-UNIPD941	0.58528711601025	Candidatus Atribacteria	0.0	0.0	5.0	0.15	mainly receiver
Ca. Dethiobacteraceae_sp_DTU-UNIPD931	0.5203537084561249	Firmicutes	26.0	0.6615384615384615	1.0	0.18	mainly donor
Rikenellaceae_sp_DTU-UNIPD929	0.5174963935558751	Bacteroidetes	0.0	0.0	19.0	1.0	mainly receiver
Limnochordia_sp_DTU-UNIPD962	0.5157870408718751	Firmicutes	0.0	0.0	6.0	0.08	mainly receiver
Tepidanaerobacter_sp_DTU-UNIPD928	0.499047164131	Firmicutes	27.0	0.6614814814814814	8.0	0.13624999999999998	mainly donor
Azonexus_sp_DTU-UNIPD953	0.48903270626662504	Proteobacteria	0.0	0.0	7.0	0.08285714285714287	mainly receiver
Methanoculleus_thermophilus_DTU-UNIPD927	0.4667485008489001	Euryarchaeota	0.0	0.0	5.0	0.092	mainly receiver
Clostridia_sp_DTU-UNIPD970	0.4048198369388751	Firmicutes	27.0	0.704074074074074	2.0	0.235	mainly donor
Fermentimonas_massiliensis_DTU-UNIPD960	0.39329527630208744	Bacteroidetes	0.0	0.0	2.0	0.10500000000000001	mainly receiver
