	community	medium	receiver	donor	compound	scs	mus	mps	smetana
24	community10	minimal	Petrimonas_sp_DTU-UNIPD925	Bacillus_sp_DTU-UNIPD918	M_pro__L_e	1.0	1.0	1	1.0
66	community1002	minimal	Firmicutes_sp_DTU-UNIPD974	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_pro__L_e	1.0	1.0	1	1.0
76	community1003	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD940	M_pro__L_e	1.0	1.0	1	1.0
89	community1004	minimal	Firmicutes_sp_DTU-UNIPD974	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_pro__L_e	1.0	1.0	1	1.0
110	community1006	minimal	Firmicutes_sp_DTU-UNIPD974	Ruminococcaceae_sp_DTU-UNIPD949	M_pro__L_e	1.0	1.0	1	1.0
122	community1007	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD951	M_pro__L_e	1.0	1.0	1	1.0
129	community1008	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD954	M_pro__L_e	1.0	1.0	1	1.0
139	community1009	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD959	M_pro__L_e	1.0	1.0	1	1.0
177	community1014	minimal	Firmicutes_sp_DTU-UNIPD974	Methanoculleus_thermophilus_DTU-UNIPD927	M_pro__L_e	1.0	1.0	1	1.0
190	community1015	minimal	Firmicutes_sp_DTU-UNIPD974	Firmicutes_sp_DTU-UNIPD938	M_pro__L_e	1.0	1.0	1	1.0
206	community1017	minimal	Firmicutes_sp_DTU-UNIPD974	Cloacibacillus_sp_DTU-UNIPD942	M_pro__L_e	1.0	1.0	1	1.0
218	community1018	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD946	M_pro__L_e	1.0	1.0	1	1.0
234	community102	minimal	Rikenellaceae_sp_DTU-UNIPD929	Methanoculleus_thermophilus_DTU-UNIPD927	M_pro__L_e	1.0	1.0	1	1.0
255	community1022	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD961	M_pro__L_e	1.0	1.0	1	1.0
266	community1023	minimal	Firmicutes_sp_DTU-UNIPD974	Clostridia_sp_DTU-UNIPD964	M_pro__L_e	1.0	1.0	1	1.0
277	community1024	minimal	Firmicutes_sp_DTU-UNIPD974	Ruminococcaceae_sp_DTU-UNIPD968	M_pro__L_e	1.0	1.0	1	1.0
308	community1027	minimal	Firmicutes_sp_DTU-UNIPD974	Methanothermobacter_wolfeii_DTU-UNIPD957	M_pro__L_e	1.0	1.0	1	1.0
332	community103	minimal	Rikenellaceae_sp_DTU-UNIPD929	Firmicutes_sp_DTU-UNIPD938	M_pro__L_e	1.0	1.0	1	1.0
499	community105	minimal	Rikenellaceae_sp_DTU-UNIPD929	Cloacibacillus_sp_DTU-UNIPD942	M_pro__L_e	1.0	1.0	1	1.0
593	community106	minimal	Rikenellaceae_sp_DTU-UNIPD929	Clostridia_sp_DTU-UNIPD946	M_pro__L_e	1.0	1.0	1	1.0
665	community1069	minimal	Firmicutes_sp_DTU-UNIPD923	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	1.0	1	1.0
696	community1072	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Tepidanaerobacter_sp_DTU-UNIPD928	M_pro__L_e	1.0	0.04	1	0.04
716	community1074	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_pro__L_e	1.0	0.03	1	0.03
737	community1076	minimal	Syntrophomonas_sp_DTU-UNIPD935	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	1.0	1	1.0
753	community1078	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD940	M_pro__L_e	1.0	0.07	1	0.07
765	community1079	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_pro__L_e	1.0	0.09	1	0.09
799	community1081	minimal	Ruminococcaceae_sp_DTU-UNIPD949	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	0.3333333333333333	1	0.3333333333333333
808	community1082	minimal	Clostridia_sp_DTU-UNIPD951	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	0.5	1	0.5
820	community1084	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD959	M_pro__L_e	1.0	0.03	1	0.03
832	community1086	minimal	Actinobacteria_sp_DTU-UNIPD965	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	1.0	1	1.0
869	community1090	minimal	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	Firmicutes_sp_DTU-UNIPD938	M_pro__L_e	1.0	0.05	1	0.05
906	community1094	minimal	Acholeplasmatales_sp_DTU-UNIPD950	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	1.0	1	1.0
940	community1098	minimal	Clostridia_sp_DTU-UNIPD964	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	0.5	1	0.5
951	community1099	minimal	Ruminococcaceae_sp_DTU-UNIPD968	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	0.5	1	0.5
958	community11	minimal	Petrimonas_sp_DTU-UNIPD925	Synergistetes_sp_DTU-UNIPD919	M_pro__L_e	1.0	1.0	1	1.0
971	community110	minimal	Rikenellaceae_sp_DTU-UNIPD929	Clostridia_sp_DTU-UNIPD961	M_pro__L_e	1.0	1.0	1	1.0
984	community1100	minimal	Clostridia_sp_DTU-UNIPD970	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	1.0	1	1.0
1010	community1103	minimal	Bacteroidales_sp_DTU-UNIPD922	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	M_pro__L_e	1.0	1.0	1	1.0
1018	community1104	minimal	Ilumatobacter_sp_DTU-UNIPD920	Firmicutes_sp_DTU-UNIPD921	M_pro__L_e	1.0	0.08	1	0.08
1074	community111	minimal	Rikenellaceae_sp_DTU-UNIPD929	Clostridia_sp_DTU-UNIPD964	M_pro__L_e	1.0	1.0	1	1.0
1089	community1110	minimal	Ilumatobacter_sp_DTU-UNIPD920	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	M_pro__L_e	1.0	0.06	1	0.06
1099	community1113	minimal	Ilumatobacter_sp_DTU-UNIPD920	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	M_pro__L_e	1.0	0.02	1	0.02
1112	community1114	minimal	Ilumatobacter_sp_DTU-UNIPD920	Firmicutes_sp_DTU-UNIPD940	M_pro__L_e	1.0	0.01	1	0.01
1124	community1115	minimal	Ilumatobacter_sp_DTU-UNIPD920	Ca_Caldatribacterium_sp_DTU-UNIPD941	M_pro__L_e	1.0	0.08	1	0.08
