Species	abundance	taxonomy	gives to	average probability of donation	receives from	average probability to receive	behaviour
Methanothermobacter_wolfeii_DTU-UNIPD957	16.3415602173	Euryarchaeota	28.0	0.4757142857142857	1	0.13	mainly donor
Firmicutes_sp_DTU-UNIPD966	13.563104375449997	Firmicutes	16.0	0.6399999999999999	12	0.07083333333333335	mainly donor
Acetomicrobium_sp_DTU-UNIPD972	9.13378503561375	Synergistetes	0.0	0.0	10	0.10600000000000001	mainly receiver
Firmicutes_sp_DTU-UNIPD974	7.347487599370001	Firmicutes	0.0	0.0	24	1.0	mainly receiver
Firmicutes_sp_DTU-UNIPD921	1.8561938449762498	Firmicutes	28.0	0.5467857142857142	5	0.06599999999999999	mainly donor
Firmicutes_sp_DTU-UNIPD923	1.667382155350625	Firmicutes	6.0	0.48499999999999993	21	1.0	mainly receiver
Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	1.5810804061331252	Firmicutes	19.0	0.6605263157894737	13	0.03769230769230769	mainly donor
Firmicutes_sp_DTU-UNIPD938	1.5291936854062498	Firmicutes	20.0	0.4709999999999999	7	0.09142857142857143	mainly donor
Bacillus_sp_DTU-UNIPD918	1.4722142713575002	Firmicutes	20.0	0.7304999999999999	3	0.02666666666666667	mainly donor
Clostridia_sp_DTU-UNIPD951	1.4523923630272497	Firmicutes	22.0	0.6163636363636363	4	0.15500000000000003	mainly donor
Bacteroidales_sp_DTU-UNIPD922	1.384704744192375	Bacteroidetes	0.0	0.0	23	1.0	mainly receiver
Ruminococcaceae_sp_DTU-UNIPD949	0.864320981831375	Firmicutes	27.0	0.5077777777777777	12	0.10750000000000003	mainly donor
Clostridia_sp_DTU-UNIPD948	0.8599189818447499	Firmicutes	0.0	0.0	10	0.020999999999999998	mainly receiver
Clostridiales_sp_DTU-UNIPD956	0.853263566140125	Firmicutes	20.0	0.6468333333333333	12	0.07	mainly donor
Synergistetes_sp_DTU-UNIPD919	0.7643460187483749	Synergistetes	13.0	0.9615384615384616	11	0.024545454545454547	mainly donor
Cloacibacillus_sp_DTU-UNIPD942	0.6626799321140001	Synergistetes	32.0	0.4165625	3	0.3433333333333333	mainly donor
Firmicutes_sp_DTU-UNIPD930	0.6371492361472498	Firmicutes	0.0	0.0	2	0.095	mainly receiver
Clostridia_sp_DTU-UNIPD961	0.606100889460875	Firmicutes	32.0	0.4096874999999999	5	0.24000000000000005	mainly donor
Ca_Dethiobacteraceae_sp_DTU-UNIPD976	0.587405401881	Firmicutes	21.0	0.6682539682539682	6	0.051666666666666666	mainly donor
Ca_Caldatribacterium_sp_DTU-UNIPD941	0.58528711601025	Candidatus Atribacteria	30.0	0.4767777777777778	7	0.06	mainly donor
Ca. Dethiobacteraceae_sp_DTU-UNIPD931	0.5203537084561249	Firmicutes	22.0	0.5263636363636363	12	0.05166666666666667	mainly donor
Rikenellaceae_sp_DTU-UNIPD929	0.5174963935558751	Bacteroidetes	0.0	0.0	22	1.0	mainly receiver
Limnochordia_sp_DTU-UNIPD962	0.5157870408718751	Firmicutes	0.0	0.0	6	0.021666666666666667	mainly receiver
Tepidanaerobacter_sp_DTU-UNIPD928	0.499047164131	Firmicutes	19.0	0.6405263157894735	14	0.08619047619047619	mainly donor
Azonexus_sp_DTU-UNIPD953	0.48903270626662504	Proteobacteria	0.0	0.0	10	0.035	mainly receiver
Methanoculleus_thermophilus_DTU-UNIPD927	0.4667485008489001	Euryarchaeota	26.0	0.4834615384615385	14	0.6778571428571428	mainly receiver
Clostridia_sp_DTU-UNIPD970	0.4048198369388751	Firmicutes	0.0	0.0	25	1.0	mainly receiver
Firmicutes_sp_DTU-UNIPD940	0.39251017269862504	Firmicutes	22.0	0.6665151515151515	7	0.09999999999999999	mainly donor
Clostridia_sp_DTU-UNIPD964	0.35591389045287497	Firmicutes	28.0	0.4328571428571428	4	0.18166666666666667	mainly donor
Clostridiales_sp_DTU-UNIPD926	0.35125399415425007	Firmicutes	0.0	0.0	1	0.37	mainly receiver
Sphaerochaeta_sp_DTU-UNIPD963	0.32652143650575005	Spirochaetes	0.0	0.0	6	0.04	mainly receiver
Firmicutes_sp_DTU-UNIPD959	0.30711430306587495	Firmicutes	32.0	0.45354166666666657	3	0.26	mainly donor
Syntrophothermus_sp_DTU-UNIPD934	0.30336820980812507	Firmicutes	0.0	0.0	12	0.05833333333333335	mainly receiver
Alcaligenaceae_sp_DTU-UNIPD943	0.30262189290029995	Proteobacteria	0.0	0.0	15	0.15466666666666667	mainly receiver
Firmicutes_sp_DTU-UNIPD954	0.3005140403915	Firmicutes	26.0	0.48499999999999993	6	0.275	mainly donor
Ca_Anaerovoracaceae_sp_DTU-UNIPD937	0.2919228396975	Firmicutes	23.0	0.5982608695652174	5	0.13599999999999998	mainly donor
Acholeplasmatales_sp_DTU-UNIPD950	0.2885548547173625	Tenericutes	0.0	0.0	22	1.0	mainly receiver
Bacteroidales_sp_DTU-UNIPD936	0.2751065156282	Bacteroidetes	0.0	0.0	25	0.9808	mainly receiver
Petrimonas_sp_DTU-UNIPD925	0.27195226747641255	Bacteroidetes	0.0	0.0	22	1.0	mainly receiver
Clostridia_sp_DTU-UNIPD924	0.267677944587925	Firmicutes	0.0	0.0	4	0.13	mainly receiver
Clostridiales_sp_DTU-UNIPD971	0.237272022405375	Firmicutes	0.0	0.0	6	0.15833333333333333	mainly receiver
Aeromicrobium_sp_DTU-UNIPD973	0.2278567861825125	Actinobacteria	0.0	0.0	6	0.045000000000000005	mainly receiver
Pseudorhodobacter_sp_DTU-UNIPD967	0.22107669847825	Proteobacteria	0.0	0.0	17	0.0847058823529412	mainly receiver
Syntrophomonas_sp_DTU-UNIPD935	0.21469693578112498	Firmicutes	0.0	0.0	24	1.0	mainly receiver
Ruminococcaceae_sp_DTU-UNIPD968	0.2075722028065	Firmicutes	29.0	0.3768965517241379	4	0.4583333333333333	mainly receiver
Bacillales_sp_DTU-UNIPD969	0.198795976754525	Firmicutes	0.0	0.0	2	0.07	mainly receiver
Acidaminococcales_sp_DTU-UNIPD952	0.1948202813614625	Firmicutes	0.0	0.0	6	0.26	mainly receiver
Catabacter_sp_DTU-UNIPD932	0.1914026819057875	Firmicutes	0.0	0.0	8	0.06375	mainly receiver
Clostridia_sp_DTU-UNIPD946	0.18435101750500002	Firmicutes	31.0	0.4048387096774194	3	0.03333333333333333	mainly donor
Sphaerochaeta_sp_DTU-UNIPD955	0.18228247983845003	Spirochaetes	0.0	0.0	21	0.9690476190476192	mainly receiver
Burkholderiales_sp_DTU-UNIPD944	0.1807903717197625	Proteobacteria	0.0	0.0	22	1.0	mainly receiver
Ilumatobacter_sp_DTU-UNIPD920	0.170423130563025	Actinobacteria	0.0	0.0	16	0.03875000000000001	mainly receiver
Actinobacteria_sp_DTU-UNIPD965	0.16372495835116252	Actinobacteria	0.0	0.0	24	1.0	mainly receiver
Clostridiales_sp_DTU-UNIPD939	0.1611282212718375	Firmicutes	0.0	0.0	7	0.22476190476190477	mainly receiver
