compound	receiver	receives from	average probability to receive
M_12ppd__S_e	Bacillales_sp_DTU-UNIPD969	10	0.7046666666666667
M_12ppd__S_e	Bacillus_sp_DTU-UNIPD918	1	0.03
M_12ppd__S_e	Cloacibacillus_sp_DTU-UNIPD942	2	0.555
M_12ppd__S_e	Fermentimonas_massiliensis_DTU-UNIPD960	2	0.175
M_12ppd__S_e	Firmicutes_sp_DTU-UNIPD938	2	0.505
M_12ppd__S_e	Tepidanaerobacter_sp_DTU-UNIPD928	3	0.03
M_2ddglcn_e	Firmicutes_sp_DTU-UNIPD945	1	0.51
M_2pg_e	Burkholderiales_sp_DTU-UNIPD944	1	0.54
M_3oxoadp_e	Rikenellaceae_sp_DTU-UNIPD929	1	0.01
M_4abut_e	Alcaligenaceae_sp_DTU-UNIPD943	11	0.27999999999999997
M_4abut_e	Azonexus_sp_DTU-UNIPD953	18	0.31296296296296294
M_4abut_e	Bacillus_sp_DTU-UNIPD918	3	0.16333333333333333
M_4abut_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	3	0.12666666666666668
M_4abut_e	Cloacibacillus_sp_DTU-UNIPD942	1	0.17
M_4abut_e	Clostridia_sp_DTU-UNIPD970	1	0.22
M_4abut_e	Clostridiales_sp_DTU-UNIPD956	4	0.11
M_4abut_e	Firmicutes_sp_DTU-UNIPD959	3	0.12666666666666668
M_4abut_e	Pseudorhodobacter_sp_DTU-UNIPD967	6	0.11499999999999999
M_4abut_e	Ruminococcaceae_sp_DTU-UNIPD949	22	0.979090909090909
M_4abut_e	Syntrophomonas_sp_DTU-UNIPD935	7	0.3971428571428572
M_4abut_e	Syntrophothermus_sp_DTU-UNIPD934	15	0.5546666666666665
M_4abz_e	Acetomicrobium_sp_DTU-UNIPD972	18	1.0
M_4abz_e	Actinobacteria_sp_DTU-UNIPD965	3	0.16333333333333333
M_4abz_e	Aminobacterium_colombiense_DTU-UNIPD933	7	0.3542857142857142
M_4abz_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	1	0.25
M_4abz_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	12	0.8991666666666668
M_4abz_e	Clostridia_sp_DTU-UNIPD924	3	0.1366666666666667
M_4abz_e	Clostridia_sp_DTU-UNIPD961	10	0.9259999999999999
M_4abz_e	Clostridiales_sp_DTU-UNIPD971	1	0.06
M_4abz_e	Fermentimonas_massiliensis_DTU-UNIPD960	2	0.05500000000000001
M_4abz_e	Firmicutes_sp_DTU-UNIPD930	2	0.025
M_4abz_e	Firmicutes_sp_DTU-UNIPD938	1	0.07
M_4abz_e	Firmicutes_sp_DTU-UNIPD945	18	1.0
M_4abz_e	Firmicutes_sp_DTU-UNIPD954	12	0.9566666666666667
M_4abz_e	Firmicutes_sp_DTU-UNIPD959	18	1.0
M_4abz_e	Firmicutes_sp_DTU-UNIPD966	9	0.7055555555555555
M_4abz_e	Methanoculleus_thermophilus_DTU-UNIPD927	14	1.0
M_4abz_e	Methanothermobacter_wolfeii_DTU-UNIPD957	13	1.0
M_4abz_e	Rikenellaceae_sp_DTU-UNIPD929	14	1.0
M_4abz_e	Ruminococcaceae_sp_DTU-UNIPD949	4	0.0825
M_4abz_e	Synergistetes_sp_DTU-UNIPD919	9	0.15000000000000002
M_4hba_e	Ilumatobacter_sp_DTU-UNIPD920	1	0.15
M_4hba_e	Rikenellaceae_sp_DTU-UNIPD929	1	0.05
M_4hbald_e	Pseudorhodobacter_sp_DTU-UNIPD967	1	1.0
M_4hthr_e	Burkholderiales_sp_DTU-UNIPD944	2	0.105
M_4hthr_e	Catabacter_sp_DTU-UNIPD932	3	0.12
M_4hthr_e	Clostridia_sp_DTU-UNIPD951	2	1.0
M_4hthr_e	Firmicutes_sp_DTU-UNIPD945	1	0.04
M_4hthr_e	Firmicutes_sp_DTU-UNIPD974	1	0.02
M_4hthr_e	Tepidanaerobacter_sp_DTU-UNIPD928	1	1.0
M_5dglcn_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	1	0.01
M_5dglcn_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	1	0.06
M_5dglcn_e	Firmicutes_sp_DTU-UNIPD959	1	0.18
M_5dglcn_e	Synergistetes_sp_DTU-UNIPD919	5	0.13999999999999999
M_5dglcn_e	bin_8_metaspades	1	0.01
M_5mtr_e	Bacteroidales_sp_DTU-UNIPD922	10	1.0
M_5mtr_e	Rikenellaceae_sp_DTU-UNIPD929	10	0.8789999999999999
M_LalaDgluMdapDala_e	Aminobacterium_colombiense_DTU-UNIPD933	6	0.09166666666666667
M_LalaDgluMdapDala_e	Azonexus_sp_DTU-UNIPD953	6	0.18166666666666667
M_LalaDgluMdapDala_e	Clostridia_sp_DTU-UNIPD948	4	0.1375
M_LalaDgluMdapDala_e	Clostridia_sp_DTU-UNIPD961	1	0.5
M_LalaDgluMdapDala_e	Clostridia_sp_DTU-UNIPD970	3	0.3444444444444444
M_LalaDgluMdapDala_e	Clostridiales_sp_DTU-UNIPD971	10	1.0
M_LalaDgluMdapDala_e	Firmicutes_sp_DTU-UNIPD974	2	0.065
M_LalaDgluMdapDala_e	Limnochordia_sp_DTU-UNIPD962	1	0.1
M_LalaDgluMdapDala_e	Limnochordia_sp_DTU-UNIPD975	3	1.0
M_LalaDgluMdapDala_e	Pseudorhodobacter_sp_DTU-UNIPD967	10	0.9480000000000001
M_LalaDgluMdapDala_e	Sphaerochaeta_sp_DTU-UNIPD963	9	0.8866666666666667
M_LalaDgluMdapDala_e	bin_8_metaspades	3	0.23333333333333336
M_LalaDgluMdap_e	Bacteroidales_sp_DTU-UNIPD936	7	0.10428571428571429
M_LalaDgluMdap_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	2	0.14500000000000002
M_LalaDgluMdap_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	3	0.12333333333333334
M_LalaDgluMdap_e	Catabacter_sp_DTU-UNIPD932	11	1.0
M_LalaDgluMdap_e	Clostridia_sp_DTU-UNIPD951	1	0.07
M_LalaDgluMdap_e	Firmicutes_sp_DTU-UNIPD938	3	0.12333333333333335
M_LalaDgluMdap_e	Ilumatobacter_sp_DTU-UNIPD920	3	0.06999999999999999
M_LalaDgluMdap_e	Pseudorhodobacter_sp_DTU-UNIPD967	2	0.055
M_LalaDgluMdap_e	Sphaerochaeta_sp_DTU-UNIPD955	9	1.0
M_LalaDgluMdap_e	Sphaerochaeta_sp_DTU-UNIPD963	1	0.04
M_LalaDgluMdap_e	Syntrophomonas_sp_DTU-UNIPD935	9	1.0
M_LalaDgluMdap_e	Tepidanaerobacter_sp_DTU-UNIPD928	4	0.037500000000000006
M_abt__L_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	2	1.0
M_abt__L_e	Firmicutes_sp_DTU-UNIPD940	3	0.22
M_abt__L_e	Petrimonas_sp_DTU-UNIPD925	2	0.14500000000000002
M_ac_e	Actinobacteria_sp_DTU-UNIPD965	4	0.14
M_ac_e	Alcaligenaceae_sp_DTU-UNIPD943	11	0.016363636363636365
M_ac_e	Azonexus_sp_DTU-UNIPD953	12	0.020833333333333332
M_ac_e	Bacillus_sp_DTU-UNIPD918	4	0.049999999999999996
M_ac_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	2	0.015
M_ac_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	2	0.07
M_ac_e	Cloacibacillus_sp_DTU-UNIPD942	1	0.03
M_ac_e	Clostridia_sp_DTU-UNIPD924	1	0.01
M_ac_e	Clostridia_sp_DTU-UNIPD961	1	0.04
M_ac_e	Clostridiales_sp_DTU-UNIPD956	1	0.02
M_ac_e	Firmicutes_sp_DTU-UNIPD921	1	0.16
M_ac_e	Pseudorhodobacter_sp_DTU-UNIPD967	9	0.024444444444444446
M_ac_e	Ruminococcaceae_sp_DTU-UNIPD949	6	0.034999999999999996
M_ac_e	Syntrophomonas_sp_DTU-UNIPD935	2	0.049999999999999996
M_acac_e	Bacillus_sp_DTU-UNIPD918	2	0.08
M_acac_e	Burkholderiales_sp_DTU-UNIPD944	3	0.16666666666666666
M_acac_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	1	0.24
M_acac_e	Firmicutes_sp_DTU-UNIPD923	6	1.0
M_acac_e	Firmicutes_sp_DTU-UNIPD974	2	0.1
M_acac_e	Pseudorhodobacter_sp_DTU-UNIPD967	3	0.3433333333333333
M_acac_e	Ruminococcaceae_sp_DTU-UNIPD949	2	0.045
M_acac_e	Tepidanaerobacter_sp_DTU-UNIPD928	3	0.10666666666666667
M_acald_e	Actinobacteria_sp_DTU-UNIPD965	13	0.5787179487179488
M_acald_e	Aeromicrobium_sp_DTU-UNIPD973	27	0.39259259259259266
M_acald_e	Alcaligenaceae_sp_DTU-UNIPD943	31	0.12129032258064512
M_acald_e	Aminobacterium_colombiense_DTU-UNIPD933	1	0.01
M_acald_e	Azonexus_sp_DTU-UNIPD953	28	0.06785714285714287
M_acald_e	Bacillales_sp_DTU-UNIPD969	14	0.15142857142857144
M_acald_e	Bacillus_sp_DTU-UNIPD918	18	0.13611111111111113
M_acald_e	Bacillus_sp_DTU-UNIPD958	6	0.17333333333333334
M_acald_e	Bacteroidales_sp_DTU-UNIPD922	8	0.44
M_acald_e	Burkholderiales_sp_DTU-UNIPD944	12	0.0825
M_acald_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	17	0.23352941176470593
M_acald_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	2	0.065
M_acald_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	22	0.2290909090909091
M_acald_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	1	0.23
M_acald_e	Cloacibacillus_sp_DTU-UNIPD942	6	0.34
M_acald_e	Clostridia_sp_DTU-UNIPD924	9	0.1922222222222222
M_acald_e	Clostridia_sp_DTU-UNIPD948	23	0.06521739130434784
M_acald_e	Clostridia_sp_DTU-UNIPD951	3	0.09333333333333334
M_acald_e	Clostridia_sp_DTU-UNIPD961	11	0.41363636363636364
M_acald_e	Clostridia_sp_DTU-UNIPD964	3	0.3566666666666667
M_acald_e	Clostridia_sp_DTU-UNIPD970	30	0.7545555555555554
M_acald_e	Clostridiales_sp_DTU-UNIPD939	20	0.32640909090909087
M_acald_e	Clostridiales_sp_DTU-UNIPD956	33	0.4121212121212122
M_acald_e	Clostridiales_sp_DTU-UNIPD971	21	0.36714285714285716
M_acald_e	Fermentimonas_massiliensis_DTU-UNIPD960	9	0.03888888888888889
M_acald_e	Firmicutes_sp_DTU-UNIPD921	12	0.15249999999999997
M_acald_e	Firmicutes_sp_DTU-UNIPD930	5	0.41200000000000003
M_acald_e	Firmicutes_sp_DTU-UNIPD938	5	0.13399999999999998
M_acald_e	Firmicutes_sp_DTU-UNIPD940	4	0.1
M_acald_e	Firmicutes_sp_DTU-UNIPD945	15	0.1802222222222222
M_acald_e	Firmicutes_sp_DTU-UNIPD959	1	0.02
M_acald_e	Firmicutes_sp_DTU-UNIPD974	13	0.13384615384615384
M_acald_e	Ilumatobacter_sp_DTU-UNIPD920	1	0.01
M_acald_e	Limnochordia_sp_DTU-UNIPD962	12	0.041666666666666664
M_acald_e	Methanothermobacter_wolfeii_DTU-UNIPD957	3	0.2966666666666667
M_acald_e	Petrimonas_sp_DTU-UNIPD925	20	0.06800000000000002
M_acald_e	Pseudorhodobacter_sp_DTU-UNIPD967	44	0.1974999999999999
M_acald_e	Ruminococcaceae_sp_DTU-UNIPD949	27	0.18405643738977065
M_acald_e	Sphaerochaeta_sp_DTU-UNIPD963	13	0.07384615384615385
M_acald_e	Synergistetes_sp_DTU-UNIPD919	9	0.04777777777777778
M_acald_e	Syntrophomonas_sp_DTU-UNIPD935	16	0.12583333333333335
M_acald_e	Syntrophothermus_sp_DTU-UNIPD934	19	0.13736842105263158
M_acald_e	Tepidanaerobacter_sp_DTU-UNIPD928	28	0.3294047619047619
M_actn__R_e	Alcaligenaceae_sp_DTU-UNIPD943	1	0.03
M_actn__R_e	Burkholderiales_sp_DTU-UNIPD944	1	0.03
M_actn__R_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	1	0.06
M_actn__R_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	1	0.14
M_actn__R_e	Clostridia_sp_DTU-UNIPD970	1	0.5
M_actn__R_e	Clostridiales_sp_DTU-UNIPD956	2	0.05
M_actn__R_e	Pseudorhodobacter_sp_DTU-UNIPD967	2	0.04
M_actn__R_e	Syntrophothermus_sp_DTU-UNIPD934	1	0.02
M_actn__R_e	Tepidanaerobacter_sp_DTU-UNIPD928	3	0.043333333333333335
M_ade_e	Actinobacteria_sp_DTU-UNIPD965	21	1.0
M_ade_e	Aeromicrobium_sp_DTU-UNIPD973	7	0.24714285714285714
M_ade_e	Alcaligenaceae_sp_DTU-UNIPD943	8	0.06125
M_ade_e	Aminobacterium_colombiense_DTU-UNIPD933	8	0.08875
M_ade_e	Bacteroidales_sp_DTU-UNIPD936	17	0.2064705882352941
M_ade_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	20	1.0
M_ade_e	Catabacter_sp_DTU-UNIPD932	9	0.13333333333333333
M_ade_e	Clostridia_sp_DTU-UNIPD946	3	0.30444444444444446
M_ade_e	Clostridia_sp_DTU-UNIPD948	20	1.0
M_ade_e	Clostridia_sp_DTU-UNIPD951	3	0.06999999999999999
M_ade_e	Clostridia_sp_DTU-UNIPD964	21	1.0
M_ade_e	Clostridiales_sp_DTU-UNIPD956	20	1.0
M_ade_e	Fermentimonas_massiliensis_DTU-UNIPD960	5	0.04
M_ade_e	Firmicutes_sp_DTU-UNIPD923	21	1.0
M_ade_e	Firmicutes_sp_DTU-UNIPD938	19	1.0
M_ade_e	Firmicutes_sp_DTU-UNIPD954	6	0.5116666666666667
M_ade_e	Firmicutes_sp_DTU-UNIPD974	5	0.036000000000000004
M_ade_e	Limnochordia_sp_DTU-UNIPD962	2	0.235
M_ade_e	Limnochordia_sp_DTU-UNIPD975	1	0.5
M_ade_e	Petrimonas_sp_DTU-UNIPD925	6	0.03833333333333334
M_ade_e	Ruminococcaceae_sp_DTU-UNIPD949	4	0.16333333333333333
M_ade_e	Ruminococcaceae_sp_DTU-UNIPD968	19	1.0
M_ade_e	Sphaerochaeta_sp_DTU-UNIPD955	11	0.12424242424242427
M_ade_e	Sphaerochaeta_sp_DTU-UNIPD963	7	0.14285714285714285
M_ade_e	Tepidanaerobacter_sp_DTU-UNIPD928	10	1.0
M_ade_e	bin_8_metaspades	21	0.980952380952381
M_adn_e	Acholeplasmatales_sp_DTU-UNIPD950	3	1.0
M_adn_e	Fermentimonas_massiliensis_DTU-UNIPD960	1	0.01
M_adn_e	Firmicutes_sp_DTU-UNIPD940	4	1.0
M_adn_e	Firmicutes_sp_DTU-UNIPD959	3	1.0
M_adn_e	Limnochordia_sp_DTU-UNIPD962	2	0.54
M_adn_e	Rikenellaceae_sp_DTU-UNIPD929	2	0.7949999999999999
M_agm_e	Bacteroidales_sp_DTU-UNIPD936	1	0.01
M_agm_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	2	0.07500000000000001
M_agm_e	Ilumatobacter_sp_DTU-UNIPD920	1	0.04
M_akg_e	Burkholderiales_sp_DTU-UNIPD944	5	0.068
M_akg_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	2	0.53
M_akg_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	5	0.23399999999999999
M_akg_e	Firmicutes_sp_DTU-UNIPD938	2	1.0
M_akg_e	Methanothermobacter_wolfeii_DTU-UNIPD957	1	0.05
M_akg_e	Syntrophomonas_sp_DTU-UNIPD935	2	0.48
M_ala__D_e	Acetomicrobium_sp_DTU-UNIPD972	20	0.37866666666666676
M_ala__D_e	Aminobacterium_colombiense_DTU-UNIPD933	8	0.06125
M_ala__D_e	Bacillus_sp_DTU-UNIPD918	5	0.048
M_ala__D_e	Bacteroidales_sp_DTU-UNIPD922	1	0.5
M_ala__D_e	Bacteroidales_sp_DTU-UNIPD936	26	0.11192307692307692
M_ala__D_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	7	0.12285714285714287
M_ala__D_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	16	0.055
M_ala__D_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	20	0.1055
M_ala__D_e	Cloacibacillus_sp_DTU-UNIPD942	3	0.10666666666666667
M_ala__D_e	Clostridia_sp_DTU-UNIPD946	3	0.13777777777777778
M_ala__D_e	Clostridia_sp_DTU-UNIPD948	21	0.15688013136288997
M_ala__D_e	Clostridia_sp_DTU-UNIPD970	14	0.7971428571428572
M_ala__D_e	Clostridiales_sp_DTU-UNIPD939	12	0.6181060606060607
M_ala__D_e	Firmicutes_sp_DTU-UNIPD938	4	0.43000000000000005
M_ala__D_e	Firmicutes_sp_DTU-UNIPD945	16	0.165
M_ala__D_e	Ilumatobacter_sp_DTU-UNIPD920	13	0.09384615384615386
M_ala__D_e	Synergistetes_sp_DTU-UNIPD919	44	0.7537121212121213
M_ala__D_e	Syntrophomonas_sp_DTU-UNIPD935	12	0.07444444444444444
M_ala__D_e	Tepidanaerobacter_sp_DTU-UNIPD928	15	0.10955555555555557
M_ala__L_e	Acetomicrobium_sp_DTU-UNIPD972	6	0.5966666666666667
M_ala__L_e	Acidaminococcales_sp_DTU-UNIPD952	1	0.25
M_ala__L_e	Actinobacteria_sp_DTU-UNIPD965	4	0.7516666666666666
M_ala__L_e	Alcaligenaceae_sp_DTU-UNIPD943	6	0.19833333333333333
M_ala__L_e	Aminobacterium_colombiense_DTU-UNIPD933	5	0.126
M_ala__L_e	Azonexus_sp_DTU-UNIPD953	11	0.2736363636363636
M_ala__L_e	Bacillales_sp_DTU-UNIPD969	4	0.39
M_ala__L_e	Bacillus_sp_DTU-UNIPD918	2	0.09
M_ala__L_e	Bacteroidales_sp_DTU-UNIPD936	9	0.1877777777777778
M_ala__L_e	Burkholderiales_sp_DTU-UNIPD944	6	0.07666666666666667
M_ala__L_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	3	0.17666666666666667
M_ala__L_e	Ca_Anaerovoracaceae_sp_DTU-UNIPD937	4	0.1925
M_ala__L_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	2	0.15
M_ala__L_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	2	0.22
M_ala__L_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	8	0.25
M_ala__L_e	Clostridia_sp_DTU-UNIPD924	1	0.08
M_ala__L_e	Clostridia_sp_DTU-UNIPD948	5	0.13
M_ala__L_e	Clostridia_sp_DTU-UNIPD951	1	0.01
M_ala__L_e	Clostridia_sp_DTU-UNIPD970	8	0.7595833333333334
