extended name	biggID	model_bigg_id
H2O	cpd00001	Universal
ATP	cpd00002	Universal
NAD	cpd00003	Universal
NADH	cpd00004	Universal
NADPH	cpd00005	Universal
NADP	cpd00006	Universal
O2	cpd00007	Universal
ADP	cpd00008	Universal
Phosphate	cpd00009	Universal
CoA	cpd00010	Universal
CO2	cpd00011	Universal
PPi	cpd00012	Universal
NH3	cpd00013	Universal
UDP	cpd00014	Universal
FAD	cpd00015	Universal
Pyridoxal phosphate	cpd00016	Universal
S-Adenosyl-L-methionine	cpd00017	Universal
AMP	cpd00018	Universal
S-Adenosyl-homocysteine	cpd00019	Universal
Pyruvate	cpd00020	Universal
Fe2+	cpd00021	Universal
Acetyl-CoA	cpd00022	Universal
L-Glutamate	cpd00023	Universal
2-Oxoglutarate	cpd00024	Universal
H2O2	cpd00025	Universal
UDP-glucose	cpd00026	Universal
D-Glucose	cpd00027	Universal
Heme	cpd00028	Universal
Acetate	cpd00029	Universal
Mn2+	cpd00030	Universal
GDP	cpd00031	Universal
Oxaloacetate	cpd00032	Universal
Glycine	cpd00033	Universal
Zn2+	cpd00034	Universal
L-Alanine	cpd00035	Universal
Succinate	cpd00036	Universal
UDP-N-acetylglucosamine	cpd00037	Universal
GTP	cpd00038	Universal
L-Lysine	cpd00039	Universal
Glyoxalate	cpd00040	Universal
L-Aspartate	cpd00041	Universal
GSH	cpd00042	Universal
UDP-galactose	cpd00043	Universal
3-phosphoadenylylsulfate	cpd00044	Universal
Adenosine 3-5-bisphosphate	cpd00045	Universal
CMP	cpd00046	Universal
Formate	cpd00047	Universal
Sulfate	cpd00048	Universal
Carboxylic acid	cpd00049	Universal
FMN	cpd00050	Universal
L-Arginine	cpd00051	Universal
CTP	cpd00052	Universal
L-Glutamine	cpd00053	Universal
L-Serine	cpd00054	Universal
Formaldehyde	cpd00055	Universal
TPP	cpd00056	Universal
Alcohol	cpd00057	Universal
Cu2+	cpd00058	Universal
L-Ascorbate	cpd00059	Universal
L-Methionine	cpd00060	Universal
Phosphoenolpyruvate	cpd00061	Universal
UTP	cpd00062	Universal
Ca2+	cpd00063	Universal
Ornithine	cpd00064	Universal
L-Tryptophan	cpd00065	Universal
L-Phenylalanine	cpd00066	Universal
H+	cpd00067	Universal
ITP	cpd00068	Universal
L-Tyrosine	cpd00069	Universal
Malonyl-CoA	cpd00070	Universal
Acetaldehyde	cpd00071	Universal
D-fructose-6-phosphate	cpd00072	Universal
Urea	cpd00073	Universal
S	cpd00074	Universal
Nitrite	cpd00075	Universal
Sucrose	cpd00076	Universal
Catechol	cpd00077	Universal
Succinyl-CoA	cpd00078	Universal
D-glucose-6-phosphate	cpd00079	Universal
Glycerol-3-phosphate	cpd00080	Universal
Sulfite	cpd00081	Universal
D-Fructose	cpd00082	Universal
GDP-mannose	cpd00083	Universal
L-Cysteine	cpd00084	Universal
beta-Alanine	cpd00085	Universal
Propionyl-CoA	cpd00086	Universal
Tetrahydrofolate	cpd00087	Universal
2,6-dichloroindophenol	cpd00088	Universal
Glucose-1-phosphate	cpd00089	Universal
